age_sky,PLANK_B               ,Achnanthidium         ,Asterionella formosa  ,Aulacoseira           ,Cavinula              ,Chamaepinnularia      ,Cymbopleura           ,Encyonema             ,Eolimna               ,Eunotia               ,Fragilaria            ,Fragilaria crotonensis,Fragilariforma        ,Genkalia              ,Gomphonema            ,Hantzschia            ,Humidophila           ,Karayevia             ,Karayevia clevei      ,Luticola              ,Mayamaea              ,Melosira varians      ,Navicula              ,Nitzschia             ,Nitzschia dissipata   ,Nupela                ,Pinnularia            ,Platessa              ,Psammothidium         ,Rossithidium          ,Sellaphora            ,Stauroneis            ,Staurosira            ,Staurosirella         ,Tetracyclus           ,total                 ,BP                    ,PB                    
2010,B,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,8,NA,4,NA,30,2,NA,60,1.50,0.67
2010,PLANK,NA,27,5,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1.50,0.67
2007,B,NA,NA,NA,2,7,NA,2,11,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,11,NA,NA,NA,22,2,NA,63,1.70,0.59
2007,PLANK,NA,28,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,1.70,0.59
2000,B,NA,NA,NA,1,3,NA,NA,8,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,17,NA,2,NA,21,NA,NA,61,1.56,0.64
2000,PLANK,NA,19,10,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1.56,0.64
1997,B,NA,NA,NA,1,4,NA,NA,5,NA,NA,NA,1,5,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,6,1,33,NA,1,67,2.03,0.49
1997,PLANK,NA,14,11,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2.03,0.49
1993,B,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,11,NA,NA,NA,18,NA,NA,48,0.92,1.08
1993,PLANK,NA,23,7,NA,NA,NA,NA,NA,NA,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,0.92,1.08
1986,B,NA,NA,NA,2,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,2,NA,37,NA,NA,57,1.33,0.75
1986,PLANK,NA,30,5,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1.33,0.75
1983,B,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,4,NA,10,NA,NA,NA,34,NA,NA,64,1.78,0.56
1983,PLANK,NA,25,9,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1.78,0.56
1980,B,NA,NA,NA,NA,8,NA,1,2,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,13,24,NA,NA,66,1.94,0.52
1980,PLANK,NA,21,4,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1.94,0.52
1973,B,NA,NA,NA,1,7,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,12,NA,2,NA,27,NA,NA,61,1.56,0.64
1973,PLANK,NA,34,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1.56,0.64
1970,B,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,1,51,NA,NA,68,2.13,0.47
1970,PLANK,NA,21,10,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2.13,0.47
1966,B,NA,NA,NA,NA,4,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,9,NA,2,NA,24,NA,NA,49,0.96,1.04
1966,PLANK,NA,38,6,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0.96,1.04
1956,B,NA,NA,NA,NA,3,NA,NA,6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,5,NA,NA,NA,63,NA,NA,83,4.88,0.20
1956,PLANK,NA,13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,4.88,0.20
1953,B,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,59,NA,NA,71,2.45,0.41
1953,PLANK,NA,19,8,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2.45,0.41
1946,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,15,NA,NA,1,57,NA,NA,85,5.67,0.18
1946,PLANK,NA,2,11,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5.67,0.18
1939,B,2,NA,NA,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,3,NA,65,NA,NA,84,5.25,0.19
1939,PLANK,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,5.25,0.19
1932,B,NA,NA,NA,NA,1,NA,NA,8,NA,NA,NA,NA,2,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,2,65,NA,NA,92,11.50,0.09
1932,PLANK,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,11.50,0.09
1929,B,4,NA,NA,NA,4,2,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,NA,1,NA,62,NA,NA,88,7.33,0.14
1929,PLANK,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7.33,0.14
1922,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,5,NA,83,NA,NA,91,10.11,0.10
1922,PLANK,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10.11,0.10
1915,B,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,75,NA,NA,85,5.67,0.18
1915,PLANK,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5.67,0.18
1902,B,NA,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,78,NA,NA,94,15.67,0.06
1902,PLANK,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15.67,0.06
1888,B,NA,NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,1,70,NA,NA,89,8.09,0.12
1888,PLANK,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8.09,0.12
1868,B,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,3,NA,1,NA,66,NA,NA,80,4.00,0.25
1868,PLANK,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4.00,0.25
1712,B,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,78,NA,NA,93,13.29,0.08
1712,PLANK,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13.29,0.08
1644,B,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,2,NA,3,NA,1,NA,75,NA,NA,91,10.11,0.10
