INSTAAR_accession_num,sample_ID,depth_range,depth_plot,dry_mass_sed_g,cleaned_sed_plus_DI_volume_mL,vol_sample_to_Battarbee_mL,Battarbee_dil,chamber_area_mm2,coverslip_area_obs_mm2,prop_sed_observed,mass_sed_obs_g,diatoms_valves_per_g,diatoms_valves_per_mg,BP,PB,age_sky
17121,SPDC1_002,0.2-0.4,0.4,0.1002,50,1.5,1,7088,0.418,5.90E-05,5.91E-06,16923092,16923,1.5,0.666666667,2010.220339
17122,SPDC1_003,0.4-0.6,0.6,0.1006,50,2,1,7088,0.19,2.68E-05,2.70E-06,37082767,37083,1.702702703,0.587301587,2006.830508
17123,SPDC1_005,0.8-1.0,1,0.1,50,2,1,7088,0.638,9.00E-05,9.00E-06,11109718,11110,1.564102564,0.639344262,2000.050847
17124,SPDC1_006,1.0-1.2,1.2,0.0995,50,2,1,7088,0.396,5.59E-05,5.56E-06,17988935,17989,2.03030303,0.492537313,1996.661017
17125,SPDC1_007,1.2-1.4,1.4,0.1006,50,2,1,7088,0.286,4.03E-05,4.06E-06,24635404,24635,0.923076923,1.083333333,1993.271186
17126,SPDC1_009,1.6-1.8,1.8,0.1006,50,2,1,7088,NA,NA,NA,NA,NA,1.325581395,0.754385965,1986.491525
17127,SPDC1_010,1.8-2.0,2,0.1007,50,1,1,7088,0.638,9.00E-05,9.06E-06,11032490,11032,1.777777778,0.5625,1983.101695
17128,SPDC1_011,2.0-2.2,2.2,0.1,50,1,1,7088,NA,NA,NA,NA,NA,1.941176471,0.515151515,1979.711864
17129,SPDC1_013,2.4-2.6,2.6,0.0994,50,1,1,7088,NA,NA,NA,NA,NA,1.564102564,0.639344262,1972.932203
17130,SPDC1_014,2.6-2.8,2.8,0.1009,50,1,1,7088,0.55,7.76E-05,7.83E-06,12772322,12772,2.125,0.470588235,1969.542373
17131,SPDC1_015,2.8-3.0,3,0.0992,50,0.5,1,7088,0.836,0.000117946,1.17E-05,8546844,8547,0.960784314,1.040816327,1966.152542
17132,SPDC1_018,3.4-3.6,3.6,0.1011,50,1,1,7088,0.99,0.000139673,1.41E-05,7081697,7082,4.882352941,0.204819277,1955.983051
17133,SPDC1_019,3.6-3.8,3.8,0.0988,50,1,1,7088,1.1,0.000155192,1.53E-05,6521899,6522,2.448275862,0.408450704,1952.59322
17134,SPDC1_020,3.8-4.0,4,0.1004,50,1,1,7088,NA,NA,NA,NA,NA,NA,NA,1949.20339
17135,SPDC1_021,4.0-4.2,4.2,0.1011,50,1,1,7088,1.1,0.000155192,1.57E-05,6373528,6374,5.666666667,0.176470588,1945.813559
17136,SPDC1_022,4.2-4.4,4.4,0.0999,50,0.5,1,7088,NA,NA,NA,NA,NA,NA,NA,1942.423729
17137,SPDC1_023,4.4-4.6,4.6,0.1002,50,1,1,7088,0.264,3.72E-05,3.73E-06,26794895,26795,5.25,0.19047619,1939.033898
17138,SPDC1_024,4.6-4.8,4.8,0.0992,50,1,1,7088,NA,NA,NA,NA,NA,NA,NA,1935.644068
17139,SPDC1_025,4.8-5.0,5,0.0998,50,0.5,1,7088,1.694,0.000238995,2.39E-05,4192565,4193,11.5,0.086956522,1932.254237
17140,SPDC1_026,5.0-5.2,5.2,0.1006,50,0.5,1,7088,1.1,0.000155192,1.56E-05,6405205,6405,7.333333333,0.136363636,1928.864407
17141,SPDC1_027,5.2-5.4,5.4,0.101,50,1,1,7088,NA,NA,NA,NA,NA,NA,NA,1925.474576
17142,SPDC1_028,5.4-5.6,5.6,0.101,50,1,1,7088,0.374,5.28E-05,5.33E-06,18764229,18764,10.11111111,0.098901099,1922.084746
17143,SPDC1_029,5.6-5.8,5.8,0.1003,50,1,1,7088,NA,NA,NA,NA,NA,NA,NA,1918.694915
