depth_plot,depth_range,sample_ID,lake_ID,age_sky,percN
0.25,0.00-0.25,LVDC3_001A,TheLoch,2011.7627118644068,0.8
0.5,0.25-0.50,LVDC3_002A,TheLoch,2007.5254237288136,0.73
0.75,0.50-0.75,LVDC3_003A,TheLoch,2003.2881355932204,0.71
1,0.75-1.00,LVDC3_004A,TheLoch,1999.050847457627,0.75
1.25,1.00-1.25,LVDC3_005A,TheLoch,1994.8135593220338,0.71
1.5,1.25-1.50,LVDC3_006A,TheLoch,1990.5762711864406,0.65
1.75,1.50-1.75,LVDC3_007A,TheLoch,1986.3389830508474,0.62
2,1.75-2.00,LVDC3_008A,TheLoch,1982.1016949152543,0.6
2.25,2.00-2.25,LVDC3_009A,TheLoch,1977.864406779661,0.59
2.5,2.25-2.50,LVDC3_010A,TheLoch,1973.6271186440679,0.51
2.75,2.50-2.75,LVDC3_011A,TheLoch,1969.3898305084745,0.54
3,2.75-3.00,LVDC3_012A,TheLoch,1965.1525423728813,0.56
3.25,3.00-3.25,LVDC3_013A,TheLoch,1960.915254237288,0.58
3.5,3.25-3.50,LVDC3_014A,TheLoch,1956.677966101695,0.51
3.75,3.50-3.75,LVDC3_015A,TheLoch,1952.4406779661017,0.56
4,3.75-4.00,LVDC3_016A,TheLoch,1948.2033898305085,0.54
4.25,4.00-4.25,LVDC3_017A,TheLoch,1943.9661016949153,0.52
5.25,5.00-5.25,LVDC3_021A,TheLoch,1927.0169491525423,0.54
5.75,5.50-5.75,LVDC3_023A,TheLoch,1918.542372881356,0.48
6.75,6.50-6.75,LVDC3_027A,TheLoch,1901.593220338983,0.53
7.75,7.50-7.75,LVDC3_031A,TheLoch,1884.6440677966102,0.53
8.25,8.00-8.25,LVDC3_033A,TheLoch,1876.1694915254238,0.55
8.75,8.50-8.75,LVDC3_035A,TheLoch,1867.6949152542372,0.53
9.25,9.00-9.25,LVDC3_037A,TheLoch,1859.2203389830509,0.5
12,11.75-12.00,LVDC3_048A,TheLoch,1812.6101694915255,0.49
13.5,13.25-13.50,LVDC3_054A,TheLoch,1787.1864406779662,0.5
14.75,14.50-14.75,LVDC3_059A,TheLoch,1766,0.49
16.25,16.00-16.25,LVDC3_065A,TheLoch,1740.5762711864406,0.53
17.25,17.00-17.25,LVDC3_069A,TheLoch,1723.6271186440677,0.48
18.75,18.50-18.75,LVDC3_075A,TheLoch,1698.2033898305085,0.51
20.25,20.00-20.25,LVDC3_081A,TheLoch,1672.7796610169491,0.48
