"","lake_ID","age_sky","percC","percN","CN","del13C","del15N","fuco","oscil","aphan","diadino","myxo","allo","diato","lutein","cantha","b_car","chl_ap","echine","pheo_a","phaeo_b","chla_pheoa","chlb_pheob","PI","UVR_index","all_chl","all_diat","AD_ratio","master_chl","perc_chlb","perc_diatox","del15N_zscore"
"1","TheLoch",1672.77966101695,6.91,0.48,16.64,-23.38,4.15,1.2,0,0,3.6,11.2,33.1,582.9,255.4,15.2,81.8,64.5,31.9,250.6,196.7,387.2,333.3,0.545091779728651,0,451.7,586.5,0.0567850403156631,0.266901133255178,0.784916201117318,1.50542355371901,0.812653452141631
"2","TheLoch",1698.20338983051,7.26,0.51,16.7,-23.14,3.92,2.3,0,0,3.6,11.8,45.6,723.4,304.5,27.6,305.9,86.8,36.9,352.2,251.6,524.2,423.6,0.488358886996025,0,611,727,0.063035664915676,0.249058789458442,0.714366837024418,1.38000763067531,0.383769727954375
"3","TheLoch",1723.62711864407,6.63,0.48,16.21,-23.21,3.85,6.7,0,0,5.3,16.4,42.3,699.1,292,25,306,85.2,31.9,274.4,237.5,426.6,389.7,0.55466472303207,0,511.8,704.4,0.0605063653268488,0.254898676938536,0.865524781341108,1.63877168307548,0.253239898853906
"4","TheLoch",1740.57627118644,7.58,0.53,16.67,-23.62,4.2,6,0,0,4.3,17.7,41.8,626.5,273.9,23.8,264.9,81,26.2,256,119.4,390.1,253.5,0.523828125,0,471.1,630.8,0.0667198723064645,0.293821209465381,0.46640625,1.60599846193284,0.905889044356252
"5","TheLoch",1766,7.05,0.49,16.82,-23.37,4.02,8.5,0,0,4.7,15.3,40.2,626.9,273.7,20.9,370.1,61.4,38.2,311.9,195.4,439,322.5,0.407502404616864,0,500.4,631.6,0.0641250598181528,0.223492175136276,0.626482847066367,1.42801822323462,0.570240912383616
"6","TheLoch",1787.18644067797,6.91,0.5,16.14,-23.35,4.4,8.7,0,0,4.7,15.2,42.7,668.3,298.3,21.8,391.9,62,40.6,332.7,172.8,460.8,300.9,0.385031559963931,0,522.8,673,0.0638934610204998,0.225726872246696,0.519386834986474,1.45030381944444,1.27883141321474
"7","TheLoch",1812.61016949153,6.76,0.49,16.04,-23.24,4.19,2.2,0,0,5.1,7.9,22.8,582.4,233.9,8.4,366.3,62,17.2,388.8,190.8,527.4,329.4,0.356481481481481,0,589.4,587.5,0.0391483516483516,0.216022443890274,0.490740740740741,1.10428517254456,0.887241925913328
"8","TheLoch",1859.22033898305,7.02,0.5,16.34,-23.78,4.36,12.6,0,0,4.6,16.2,39.5,706.1,294.9,17.2,425.3,84.4,28.7,409.5,232.1,580.9,403.5,0.418559218559219,0,665.3,710.7,0.0559410848321767,0.236088154269972,0.566788766788767,1.21552762954037,1.20424293944304
"9","TheLoch",1867.69491525424,7.25,0.53,16.11,-23.43,4.43,11.2,0,0,5,15,39.1,662.9,316,18.4,434.3,84.6,29.8,468.6,251,639.1,421.5,0.363849765258216,0,723.7,667.9,0.0589832553929703,0.212011937329023,0.535638070849338,1.03723986856517,1.33477276854351
"10","TheLoch",1876.16949152542,7.83,0.55,16.62,-23.58,4.16,7.1,0,0,4.7,12.8,34.2,617.5,267.8,16.8,330.5,72.5,24,375.4,215.9,511.4,351.9,0.362280234416622,0,583.9,622.2,0.0553846153846154,0.204880988249473,0.575119872136388,1.20746969104419,0.831300570584555
"11","TheLoch",1884.64406779661,7.83,0.53,17.28,-23.36,4.31,7.2,0,0,2.5,17.3,41.9,801.3,303.1,20.7,413.4,83.5,24.4,361.6,248.8,516.3,403.5,0.427820796460177,0,599.8,803.8,0.052290028703357,0.222942787145122,0.688053097345133,1.5520046484602,1.11100734722842
"12","TheLoch",1901.59322033898,7.9,0.53,17.5,-23.63,4.02,5.5,0,0,2.5,7.9,36.2,639,249.1,16.1,353.9,72,27.3,342.8,172.1,480.7,310,0.402275379229872,0,552.7,641.5,0.0566510172143975,0.234963366842733,0.502042007001167,1.3293114208446,0.570240912383616
"13","TheLoch",1918.54237288136,6.85,0.48,16.52,-23.59,4.39,6.5,0,0,3.9,16.3,38.3,784.4,284.2,19.6,413.8,83.2,36.1,405.8,239.4,566.8,400.4,0.396747166091671,0,650,788.3,0.0488271290158083,0.22103239978034,0.589945786101528,1.38390966831334,1.26018429477181
"14","TheLoch",1927.01694915254,7.57,0.54,16.3,-23.51,4.23,7.9,0,0,4.6,14.1,32.7,690.3,254.5,16,331.2,72.1,26,365.7,180.8,510.5,325.6,0.39595296691277,0,582.6,694.9,0.0473707083876575,0.234076947946977,0.494394312277823,1.35220372184133,0.961830399685025
"15","TheLoch",1943.96610169492,7.55,0.52,16.87,-23.77,4.05,7.2,0,1.3,5.5,18.4,34.6,635.9,248.9,17.9,237.9,71.7,22.6,384.7,226.8,538.2,380.3,0.399012217312191,0,609.9,641.4,0.0544110709231011,0.224677985948478,0.589550298934234,1.18153102935712,0.626182267712389
"16","TheLoch",1948.20338983051,7.69,0.54,16.59,-23.82,3.93,23.5,0,3,6.6,16.8,32.2,620.9,260.7,17.9,343.2,77.9,29.7,444.5,223.1,624.5,403.1,0.404949381327334,0,702.4,627.5,0.0518602029312289,0.241448692152918,0.501912260967379,0.994235388310649,0.402416846397299
"17","TheLoch",1952.4406779661,7.9,0.56,16.52,-23.73,3.87,21.4,0,2.8,10.7,17,32.6,601.4,258,17.8,357,75.8,32.4,440.8,193,616.2,368.4,0.397912885662432,0,692,612.1,0.0542068506817426,0.247181510710259,0.437840290381125,0.97598182408309,0.290534135739754
"18","TheLoch",1956.67796610169,7.2,0.51,16.58,-23.66,3.68,41.9,0,5.7,9.9,22.3,34.4,545.4,261.1,21.4,367,85.6,26.6,514.4,261,764.4,511,0.486003110419907,0,850,555.3,0.0630729739640631,0.300116144018583,0.507387247278383,0.713500784929356,-0.0637611146758052
"19","TheLoch",1960.91525423729,7.84,0.58,15.72,-23.65,3.41,54.2,0,18.9,13.3,27,35.1,492,252.8,23.9,230,82.8,20.1,467.9,258,774.7,564.8,0.655695661466125,0,857.5,505.3,0.0713414634146342,0.39507852108322,0.551399871767472,0.635084548857622,-0.567233312634758
"20","TheLoch",1965.15254237288,8.38,0.56,17.34,-23.84,3.37,39.2,0,17.3,9.5,21.4,33.9,480.3,237.7,21.2,281.5,72,22.8,454.5,234.9,687.1,467.5,0.511771177117712,0,759.1,489.8,0.070580886945659,0.324665090622537,0.516831683168317,0.699024887207102,-0.641821786406455
"21","TheLoch",1969.38983050847,6.81,0.54,14.71,-23.5,3.43,58.7,0,26.7,15.6,28.6,36.4,524.7,269.8,47.9,336.2,96.4,26.4,581.1,300.2,905.5,624.6,0.558251591808639,0,1001.9,540.3,0.0693729750333524,0.35573284238519,0.516606436069523,0.579458862506902,-0.52993907574891
"22","TheLoch",1973.62711864407,6.95,0.51,16.03,-23.78,3.5,44.2,0,49.4,12.5,26.6,36,466.7,258.2,27.7,310.2,86.4,28.2,536.5,278.4,837.8,579.7,0.561602982292637,0,924.2,479.2,0.0771373473323334,0.36314212803728,0.518918918918919,0.557054189544044,-0.399409246648441
"23","TheLoch",1977.86440677966,7.39,0.59,14.52,-23.47,3.26,95.1,0,42.6,15.9,38.3,45.2,517.1,333.1,35.9,307.9,118.1,42.3,764.7,417.5,1336.8,989.6,0.748136524127109,0,1454.9,533,0.0874105588860955,0.46520033838345,0.545965738197986,0.386819269898264,-0.846940089278621
"24","TheLoch",1982.10169491525,7.05,0.6,13.63,-23.61,3.31,112,0,40,21.7,59.9,52,608.7,349.2,37,320.3,125.5,39,767.4,451.7,1342.9,1027.2,0.749934844930936,0,1468.4,630.4,0.0854279612288484,0.454261490406069,0.588610893927548,0.453272767890387,-0.753704497064
"25","TheLoch",1986.33898305085,7.3,0.62,13.71,-23.52,3.27,114.7,0,48.8,11.2,54.6,50.5,578.3,347.6,38.7,329.8,139.7,37.4,845.5,458.5,1474.7,1087.7,0.744175044352454,0,1614.4,589.5,0.087324917862701,0.461453210500797,0.542282672974571,0.392147555435004,-0.828292970835697
"26","TheLoch",1990.57627118644,7.12,0.65,12.73,-23.29,2.98,288.5,0,58.3,29.3,108.9,63.8,537.6,357,40.3,299.4,155.7,28.2,1027.4,544.1,2105.6,1622.3,1.04944520147946,0,2261.3,566.9,0.118675595238095,0.654006484483557,0.529589254428655,0.25531914893617,-1.3690594056805
"27","TheLoch",1994.81355932203,7.91,0.71,12.99,-23.29,2.9,158,0,42.7,21.8,109.5,42.1,442.3,328.8,37.2,387.7,136,38.6,891.8,471.7,1646.8,1226.7,0.846602377214622,0,1782.8,464.1,0.0951842640741578,0.530376792264088,0.528930253420049,0.268581491377216,-1.51823635322389
"28","TheLoch",1999.05084745763,8.29,0.75,12.8,-23.28,2.8,209.8,0,70.6,24,108,49.9,505,308.4,35.2,333.2,129,42,800.2,429.6,1640.1,1269.5,1.04961259685079,0,1769.1,529,0.0988118811881188,0.64674712982043,0.536865783554112,0.307908054386928,-1.70470753765313
"29","TheLoch",2003.28813559322,7.73,0.71,12.68,-23.22,2.86,203,0,49.3,23.9,72.9,52.1,514,352,37.4,403.7,140.7,54.4,899.6,445.7,1785.9,1332,0.985215651400622,0,1926.6,537.9,0.10136186770428,0.620255720053836,0.495442418852823,0.287810067752954,-1.59282482699559
"30","TheLoch",2007.52542372881,8.01,0.73,12.75,-23.43,2.87,219.3,0,50.9,28.9,88.7,71.3,674.6,372.8,56.7,428.3,148.7,28.7,969.7,513.6,1899.5,1443.4,0.958853253583582,0,2048.2,703.5,0.105692262081233,0.597120098039216,0.529648344848922,0.355146091076599,-1.57417770855266
"31","TheLoch",2011.76271186441,8.53,0.8,12.45,-23.35,3.02,242.7,0,61.5,20.2,84.4,64.3,590.2,341.6,39,395.7,145.1,43.4,1001.4,416.5,2051.4,1466.5,1.04853205512283,0,2196.5,610.4,0.108946119959336,0.698528470889315,0.415917715198722,0.287705956907478,-1.2944709319088
