lake_ID,age_sky,percC,percN,CN,del13C,del15N,fuco,oscil,aphan,diadino,myxo,allo,diato,lutein,cantha,b_car,chl_ap,echine,pheo_a,phaeo_b,chla_pheoa,chlb_pheob,PI,UVR_index,all_chl,all_diat,AD_ratio,master_chl,perc_chlb,perc_diatox,del15N_zscore
SkyPond,1610.220339,3.4,0.4,9.99,-25.9,4.3,87.95080908,0,0,0,0,64.34271928,574.6660794,116.5684406,1.815642376,46.87922737,228.1690961,15.66634417,416.0429223,130.5909093,771.3721664,130.5909093,0.854068715,0,999.5412625,574.6660794,0.111965403,0.458605965,0.313888069,0.744991982,0.401825208
SkyPond,1627.169492,3.53,0.42,9.65,-26,4.6,83.02763581,0,0,0,0,62.64419131,604.5512694,130.2178352,3.144284629,77.519715,248.3771401,18.24181356,523.882451,200.7265137,916.5262129,200.7265137,0.749488289,0,1164.903353,604.5512694,0.103620974,0.403545087,0.383151818,0.659611543,0.633012314
SkyPond,1644.118644,2.78,0.34,9.68,-25.7,4.5,61.43467011,0,0,0,0,42.28841413,402.9896577,142.1273803,1.396781601,45.55840741,234.637667,17.57086667,516.6351102,206.1366231,834.9736176,206.1366231,0.616176681,0,1069.611285,402.9896577,0.104936723,0.332499877,0.398998479,0.482637594,0.555949946
SkyPond,1661.067797,2.02,0.24,9.99,-25.6,4.9,46.34753098,0,0,0,0,53.3919833,328.3151876,148.6227695,3.610183625,65.57763058,172.5103263,13.67584353,540.3869762,189.7367786,768.1964287,189.7367786,0.421567252,0,940.706755,328.3151876,0.162624165,0.25238295,0.351112789,0.427384423,0.86419942
SkyPond,1678.016949,2.19,0.19,9.16,-25.9,5.3,29.47476862,0,0,0,0,20.49461261,216.0403562,141.5171686,3.301741564,28.9773847,118.4128423,7.540896579,326.8859085,174.1122059,517.219332,174.1122059,0.582262553,0.001628883,635.6321743,216.0403562,0.094864742,0.307281331,0.532639069,0.417695826,1.172448895
SkyPond,1694.966102,2.3,0.27,9.85,-25.9,4.8,57.03680404,0,0,0,0,41.24581192,349.5314441,182.165721,2.293434986,43.44809832,172.6953097,15.62027461,475.4811255,201.736802,726.1455424,201.736802,0.527180583,0.002023239,898.8408521,349.5314441,0.118003151,0.294929419,0.424279306,0.481351773,0.787137052
SkyPond,1711.915254,3,0.27,9.74,-25.9,5.9,50.3040892,0,0,0,0,46.51217284,298.4892453,180.5497257,4.91368273,96.91600449,200.1006143,21.64157226,461.0224682,245.4703507,670.1364062,245.4703507,0.453587303,0.002610443,870.2370205,298.4892453,0.155825289,0.230659004,0.532447695,0.445415653,1.634823107
SkyPond,1728.864407,3.5,0.33,9.51,-25.7,4.7,70.29968403,0,0,0,0,39.8546112,334.3617374,177.1164043,4.555342098,144.7009936,150.5799764,20.29735299,217.7957184,196.3276365,430.3269133,196.3276365,0.975828159,0.000661946,580.9068897,334.3617374,0.119196088,0.376359025,0.901430193,0.776994715,0.710074683
SkyPond,1779.711864,4.38,0.52,9.87,-25.8,4.1,35.28533838,0,0,0,0,51.12568384,118.4510952,171.8816398,5.276950517,46.1720795,127.1514327,18.40594804,421.1627422,343.3492406,537.4282597,343.3492406,0.276058411,0.016219666,664.5796924,118.4510952,0.431618498,0.13039171,0.81524125,0.220403548,0.247700471
SkyPond,1786.491525,4.35,0.43,9.69,-26.2,5.2,53.6631236,0,0,0,0,68.46942403,150.171816,166.1582459,3.243882122,50.33313634,136.072921,19.85395129,483.2681522,341.0223432,609.2450216,341.0223432,0.260676953,0.010598872,745.3179426,150.171816,0.455940574,0.131176248,0.705658632,0.246488376,1.095386526
