sample_start_depth,depth_plot,depth_range,sample_ID,lake_ID,age_sky,percN
0,0.2,0-0.2,SPDC_001,SkyPond,2013.6101694915253,0.45
0.2,0.4,0.2-0.4,SPDC_002,SkyPond,2010.2203389830509,0.45
0.4,0.6,0.4-0.6,SPDC_003,SkyPond,2006.8305084745762,0.42
0.6,0.8,0.6-0.8,SPDC_004,SkyPond,2003.4406779661017,0.4
0.8,1,0.8-1,SPDC_005,SkyPond,2000.050847457627,0.44
1,1.2,1-1.2,SPDC_006,SkyPond,1996.6610169491526,0.39
1.2,1.4,1.2-1.4,SPDC_007,SkyPond,1993.2711864406779,0.35
1.4,1.6,1.4-1.6,SPDC_008,SkyPond,1989.8813559322034,0.4
1.6,1.8,1.6-1.8,SPDC_009,SkyPond,1986.4915254237287,0.37
1.8,2,1.8-2,SPDC_010,SkyPond,1983.1016949152543,0.36
2,2.2,2-2.2,SPDC_011,SkyPond,1979.7118644067796,0.36
2.2,2.4,2.2-2.4,SPDC_012,SkyPond,1976.322033898305,0.35
2.4,2.6,2.4-2.6,SPDC_013,SkyPond,1972.9322033898304,0.34
2.6,2.8,2.6-2.8,SPDC_014,SkyPond,1969.542372881356,0.38
2.8,3,2.8-3,SPDC_015,SkyPond,1966.1525423728813,0.35
3,3.2,3-3.2,SPDC_016,SkyPond,1962.7627118644068,0.34
3.2,3.4,3.2-3.4,SPDC_017,SkyPond,1959.3728813559321,0.33
3.4,3.6,3.4-3.6,SPDC_018,SkyPond,1955.9830508474577,0.35
3.6,3.8,3.6-3.8,SPDC_019,SkyPond,1952.593220338983,0.31
3.8,4,3.8-4,SPDC_020,SkyPond,1949.2033898305085,0.31
4,4.2,4-4.2,SPDC_021,SkyPond,1945.8135593220338,0.31
4.2,4.4,4.2-4.4,SPDC_022,SkyPond,1942.4237288135594,0.31
4.4,4.6,4.4-4.6,SPDC_023,SkyPond,1939.0338983050847,0.27
4.6,4.8,4.6-4.8,SPDC_024,SkyPond,1935.6440677966102,0.3
4.8,5,4.8-5,SPDC_025,SkyPond,1932.2542372881355,0.3
5,5.2,5-5.2,SPDC_026,SkyPond,1928.864406779661,0.33
5.2,5.4,5.2-5.4,SPDC_027,SkyPond,1925.4745762711864,0.34
5.4,5.6,5.4-5.6,SPDC_028,SkyPond,1922.084745762712,0.36
5.6,5.8,5.6-5.8,SPDC_029,SkyPond,1918.6949152542372,0.37
5.8,6,5.8-6,SPDC_030,SkyPond,1915.3050847457628,0.35
6.2,6.4,6.2-6.4,SPDC_032,SkyPond,1908.5254237288136,0.3
6.6,6.8,6.6-6.8,SPDC_034,SkyPond,1901.7457627118645,0.37
7,7.2,7-7.2,SPDC_036,SkyPond,1894.9661016949153,0.29
7.4,7.6,7.4-7.6,SPDC_038,SkyPond,1888.1864406779662,0.37
7.8,8,7.8-8,SPDC_040,SkyPond,1881.406779661017,0.29
8.2,8.4,8.2-8.4,SPDC_042,SkyPond,1874.6271186440679,0.4
8.6,8.8,8.6-8.8,SPDC_044,SkyPond,1867.8474576271187,0.38
9,9.2,9-9.2,SPDC_046,SkyPond,1861.0677966101696,0.5
9.4,9.6,9.4-9.6,SPDC_048,SkyPond,1854.2881355932204,0.54
9.8,10,9.8-10,SPDC_050,SkyPond,1847.508474576271,0.41
10.2,10.4,10.2-10.4,SPDC_052,SkyPond,1840.7288135593221,0.48
10.6,10.8,10.6-10.8,SPDC_054,SkyPond,1833.9491525423728,0.49
11,11.2,11-11.2,SPDC_056,SkyPond,1827.1694915254238,0.5
11.4,11.6,11.4-11.6,SPDC_058,SkyPond,1820.3898305084745,0.47
11.8,13,11.8-13,SPDC_060,SkyPond,1796.6610169491526,0.52
13,13.2,13-13.2,SPDC_065,SkyPond,1793.2711864406779,0.49
13.4,13.6,13.4-13.6,SPDC_067,SkyPond,1786.4915254237287,0.43
13.8,14,13.8-14,SPDC_069,SkyPond,1779.7118644067796,0.52
16.8,17,16.8-17,SPDC_084,SkyPond,1728.864406779661,0.33
17.8,18,17.8-18,SPDC_089,SkyPond,1711.915254237288,0.27
18.8,19,18.8-19,SPDC_094,SkyPond,1694.9661016949153,0.27
19.8,20,19.8-20,SPDC_099,SkyPond,1678.0169491525423,0.19
20.8,21,20.8-21,SPDC_0104,SkyPond,1661.0677966101694,0.24
21.8,22,21.8-22,SPDC_0109,SkyPond,1644.1186440677966,0.34
22.8,23,22.8-23,SPDC_0114,SkyPond,1627.1694915254238,0.42
23.8,24,23.8-24,SPDC_0119,SkyPond,1610.2203389830509,0.4
