"","lake_ID","age_sky","percC","percN","CN","del13C","del15N","fuco","oscil","aphan","diadino","myxo","allo","diato","lutein","cantha","b_car","chl_ap","echine","pheo_a","phaeo_b","chla_pheoa","chlb_pheob","PI","UVR_index","all_chl","all_diat","AD_ratio","master_chl","perc_chlb","perc_diatox","del15N_zscore"
"1","SkyPond",1610.22033898305,3.4,0.4,9.99,-25.9,4.3,87.95080908,0,0,0,0,64.34271928,574.6660794,116.5684406,1.815642376,46.87922737,228.1690961,15.66634417,416.0429223,130.5909093,771.3721664,130.5909093,0.854068715159585,0,999.5412625,574.6660794,0.111965403190631,0.45860596468678,0.3138880685148,0.744991982381178,0.401825208193396
"2","SkyPond",1627.16949152542,3.53,0.42,9.65,-26,4.6,83.02763581,0,0,0,0,62.64419131,604.5512694,130.2178352,3.144284629,77.519715,248.3771401,18.24181356,523.882451,200.7265137,916.5262129,200.7265137,0.749488289120034,0,1164.903353,604.5512694,0.103620973903789,0.403545086577273,0.383151818345601,0.659611542900804,0.633012314277268
"3","SkyPond",1644.1186440678,2.78,0.34,9.68,-25.7,4.5,61.43467011,0,0,0,0,42.28841413,402.9896577,142.1273803,1.396781601,45.55840741,234.637667,17.57086667,516.6351102,206.1366231,834.9736176,206.1366231,0.616176680823657,0,1069.6112846,402.9896577,0.104936723119284,0.332499876542104,0.398998478868771,0.48263759381803,0.555949945582644
"4","SkyPond",1661.06779661017,2.02,0.24,9.99,-25.6,4.9,46.34753098,0,0,0,0,53.3919833,328.3151876,148.6227695,3.610183625,65.57763058,172.5103263,13.67584353,540.3869762,189.7367786,768.1964287,189.7367786,0.421567251864498,0,940.706755,328.3151876,0.162624165181934,0.252382950378274,0.351112789457341,0.427384423220503,0.864199420361141
"5","SkyPond",1678.01694915254,2.19,0.19,9.16,-25.9,5.3,29.47476862,0,0,0,0,20.49461261,216.0403562,141.5171686,3.301741564,28.9773847,118.4128423,7.540896579,326.8859085,174.1122059,517.219332,174.1122059,0.582262552623923,0.00162888292662173,635.6321743,216.0403562,0.0948647418032724,0.307281331466961,0.532639068777723,0.417695826187719,1.17244889513964
"6","SkyPond",1694.96610169492,2.3,0.27,9.85,-25.9,4.8,57.03680404,0,0,0,0,41.24581192,349.5314441,182.165721,2.293434986,43.44809832,172.6953097,15.62027461,475.4811255,201.736802,726.1455424,201.736802,0.527180582902023,0.00202323886406506,898.8408521,349.5314441,0.118003151408031,0.294929418590776,0.424279306119376,0.48135177273795,0.787137051666516
"7","SkyPond",1711.91525423729,3,0.27,9.74,-25.9,5.9,50.3040892,0,0,0,0,46.51217284,298.4892453,180.5497257,4.91368273,96.91600449,200.1006143,21.64157226,461.0224682,245.4703507,670.1364062,245.4703507,0.453587303058042,0.00261044264117836,870.2370205,298.4892453,0.155825288757899,0.230659003630648,0.532447695355079,0.445415653497442,1.63482310730738
"8","SkyPond",1728.86440677966,3.5,0.33,9.51,-25.7,4.7,70.29968403,0,0,0,0,39.8546112,334.3617374,177.1164043,4.555342098,144.7009936,150.5799764,20.29735299,217.7957184,196.3276365,430.3269133,196.3276365,0.975828158888178,0.00066194624041535,580.9068897,334.3617374,0.119196088373956,0.376359024500056,0.901430193129086,0.776994715101404,0.710074682971893
"9","SkyPond",1779.71186440678,4.38,0.52,9.87,-25.8,4.1,35.28533838,0,0,0,0,51.12568384,118.4510952,171.8816398,5.276950517,46.1720795,127.1514327,18.40594804,421.1627422,343.3492406,537.4282597,343.3492406,0.276058411275108,0.0162196658463271,664.5796924,118.4510952,0.431618498365729,0.130391710009549,0.815241250464059,0.220403547937954,0.247700470804148
"10","SkyPond",1786.49152542373,4.35,0.43,9.69,-26.2,5.2,53.6631236,0,0,0,0,68.46942403,150.171816,166.1582459,3.243882122,50.33313634,136.072921,19.85395129,483.2681522,341.0223432,609.2450216,341.0223432,0.260676953005305,0.0105988723013573,745.3179426,150.171816,0.455940574295246,0.131176247708638,0.705658632060795,0.246488376065214,1.09538652644501
"11","SkyPond",1793.27118644068,4.13,0.49,9.78,-26.1,4.8,76.38220391,0,0,0,0,99.40417816,248.0165077,147.7098969,3.417097385,108.2010152,141.5935545,21.02320868,487.6044121,322.924685,648.8506446,322.924685,0.330690675676107,0.0123282911913336,790.4441991,248.0165077,0.400796620683971,0.169354475738008,0.662267766629177,0.382239749261397,0.787137051666516
"12","SkyPond",1796.66101694915,4.28,0.52,9.69,-25.9,4.7,81.35999147,0,0,0,0,84.72156236,244.0323097,180.766913,0.842066376,127.3144102,160.6342649,25.00997691,548.3521223,415.0497327,749.1822239,419.110582842,0.366242954905766,0.000700311470037442,909.8164888,244.0323097,0.347173546257674,0.182281465973022,0.756903667955403,0.325731580268478,0.710074682971893
"13","SkyPond",1820.38983050847,4.42,0.47,10.07,-25.8,4.4,48.1929984,0,0,0,0,75.34623148,175.5066759,200.0427893,4.200349801,143.7716425,135.338044,17.47033895,612.584532,561.2620001,764.4584509,567.481025338,0.247923202376909,0.00769083214041199,899.7964949,175.5066759,0.429306925754384,0.120756803146086,0.916219673826175,0.229583014869383,0.478887576888021
"14","SkyPond",1827.16949152542,4.35,0.5,10.05,-25.4,4.8,55.61827475,0,0,0,0,53.36993103,130.444565,191.4572932,3.194710047,121.5617761,128.4523708,17.16635249,533.4848917,536.5951945,691.8896369,546.542307401,0.296924519633964,0.00191154742665813,820.3420077,130.444565,0.40913878650291,0.140464997103537,1.00583016098186,0.188533774814802,0.787137051666516
"15","SkyPond",1833.94915254237,4.05,0.49,9.71,-25.6,4.6,66.37390233,0,0,0,0,74.57034121,179.3985633,201.3968682,2.616559358,123.8929624,154.8925962,34.26345321,615.8928071,579.6622587,759.3610324,598.10543547,0.232943498683701,0.00356658038511451,914.2536286,179.3985633,0.415668552959922,0.119894614671857,0.94117393809063,0.236249367093544,0.633012314277268
"16","SkyPond",1840.72881355932,4.31,0.48,10.43,-25.5,4.4,62.13327851,0,0,0,0,85.90344353,181.7422684,156.6403752,3.483266845,127.5486086,130.8635379,29.01760433,480.4054832,466.8878432,589.9258374,467.815732269,0.22797482133318,0.00274966512781868,720.7893753,181.7422684,0.472666288840048,0.102441719684927,0.971862019746406,0.308076468054016,0.478887576888021
"17","SkyPond",1847.50847457627,4.39,0.41,10.43,-25.2,5.1,48.83987236,0,0,0,0,63.05538694,159.2913347,168.5588039,0.405771332,105.64308,128.4753255,30.18322546,480.4838685,417.4273454,589.6211904,422.091621509,0.227140449565374,0,718.0965159,159.2913347,0.39584944817466,0.110875964990271,0.868764536680798,0.270158768533974,1.01832415775039
"18","SkyPond",1854.28813559322,4.8,0.54,10.32,-25.4,3.9,52.51808185,0,0,0,0,56.78951866,155.3537747,165.7859737,0.364729546,67.19181778,122.8095181,28.4557878,465.6975422,388.5697953,603.0040365,388.5697953,0.294840495939384,0.00755044976590017,725.8135546,155.3537747,0.365549654455869,0.140527834134075,0.83438231918588,0.257633059310375,0.0935757334149006
"19","SkyPond",1861.06779661017,3.94,0.5,9.16,-25.8,4,60.58879459,0,0,4.888464048,0,54.64455504,163.7207941,182.4196279,0.440120327,129.5947385,136.2517409,18.28087518,535.6991175,362.7469475,690.176497,365.055450406,0.288365939859888,0.00747734601514494,826.4282379,168.609258148,0.333766735865105,0.151528186792302,0.677146808068057,0.237215835096743,0.170638102109525
"20","SkyPond",1867.84745762712,3.85,0.38,9.81,-25.7,4.9,62.31159243,0,0,4.999988327,0,58.67975189,187.0542501,185.9816039,0.934493059,107.2970438,149.6681665,16.99714828,569.5765695,374.4087644,758.0944749,392.79843001,0.330979038631258,0,907.7626414,192.054238427,0.313704456640945,0.189189328186966,0.657345797648722,0.246742663735512,0.864199420361141
"21","SkyPond",1874.62711864407,3.35,0.4,9.77,-25.8,5.6,83.71834808,0,0,9.362314855,0,106.8613735,415.9433975,154.1143395,0.916820556,122.6345726,144.0459943,17.07238284,643.9991854,381.2985911,931.2795194,397.10920359,0.446088039415088,0,1075.3255137,425.305712355,0.256913258251683,0.259197469605232,0.592079306533856,0.44663647039933,1.40363600122351
"22","SkyPond",1881.40677966102,3.28,0.29,10.1,-25.7,6.5,72.59313288,0,0,10.52222222,0,64.36913468,340.6963797,179.3920722,2.977453848,134.7553806,160.1827371,17.99280015,639.7907511,298.0644659,1009.7105303,305.024475517,0.57818869460678,0,1169.8932674,351.21860192,0.18893401431703,0.343230202025127,0.465878047451505,0.337419853984066,2.09719731947512
"23","SkyPond",1888.18644067797,3.38,0.37,10.54,-25.9,4.2,76.01749214,0,0,10.70604916,0,50.99257645,335.5432913,197.6898014,0.995626239,155.690839,153.2945365,22.22897822,578.1185925,252.6851597,973.7968479,267.63189632,0.68442402741095,0,1127.0913844,346.24934046,0.151970186179073,0.417260142340496,0.437081877279358,0.344572168233653,0.324762839498773
"24","SkyPond",1894.96610169492,3.21,0.29,9.83,-25.9,6.8,90.00989428,0,0,29.42035807,0,54.85528393,412.6276518,248.0419751,1.137216713,131.7993051,179.4787041,28.04714612,703.8377938,289.2362759,1174.2357493,311.63475674,0.668332902330145,0,1353.7144534,442.04800987,0.132941366606687,0.420276551598568,0.410941666457582,0.351401030028238,2.328384425559
"25","SkyPond",1901.74576271186,3.16,0.37,10.05,-25.6,4.6,81.8010158,0,0,11.25277954,0,45.38820954,368.1457239,149.7367342,3.315692203,145.2212346,232.2639564,31.26005895,814.0155307,341.3557122,1274.2919149,363.21851282,0.56543931514942,0.00126552682387429,1506.5558713,379.39850344,0.123288704970342,0.347453844543017,0.419347910851844,0.28890218920434,0.633012314277268
"26","SkyPond",1908.52542372881,3.25,0.3,10.46,-26,5.1,99.41077949,0,0,28.80926089,0,73.28004639,480.0804351,203.4651279,1.135814691,83.10216743,167.9341789,18.82766916,700.2515694,243.611231,1093.8369811,254.83236078,0.562062876970398,0.0325212062390938,1261.77116,508.88969599,0.152641184752167,0.364101134484887,0.347891017522081,0.438895780079784,1.01832415775039
"27","SkyPond",1915.30508474576,3.3,0.35,11.12,-26,3.4,129.2262277,0,0,27.75888852,0,60.39199983,359.2266187,217.6048247,2.980448967,145.3169071,169.8878294,38.50263196,527.8209849,299.0707652,877.776165,319.2079816,0.663018694048896,0.0175352529300572,1047.6639944,386.98550722,0.168116717097836,0.371288100309643,0.566614010726878,0.409246266899945,-0.291736110058219
"28","SkyPond",1918.69491525424,3.32,0.37,10.58,-25.9,3.6,122.4455396,0,0,27.155405,0,50.37562563,317.6606514,230.6431436,1.022051164,143.1447538,161.3344255,26.2327203,685.5513071,327.5706793,1024.2798594,349.94995199,0.494096574234363,0.0153677847708851,1185.6142849,344.8160564,0.158583146536984,0.30746805188437,0.477820807731635,0.310130721096165,-0.137611372668971
"29","SkyPond",1922.08474576271,3.27,0.36,10.73,-26.1,3.9,109.7665147,0,0,30.20285103,0,71.26883336,321.3492207,215.8810258,2.18688966,87.40309881,142.3416565,25.64883024,490.0469625,306.0952419,819.7498658,343.77560566,0.672798585706977,0.0146737848692464,962.0915223,351.55207173,0.22178000993671,0.391464661638061,0.624624302002484,0.392008872592364,0.0935757334149006
"30","SkyPond",1925.47457627119,3.12,0.34,10.64,-25.6,4.4,120.8546459,0,0,29.61094525,0,51.48896129,303.5182465,226.0397156,1.169036356,88.0041914,136.0855733,25.12773832,211.7571595,259.0101023,518.3402392,276.15808312,1.44780502545417,0,654.4258125,333.12919175,0.169640414979137,0.533458924133813,1.22314684854847,0.585557947359916,0.478887576888021
"31","SkyPond",1928.86440677966,3.01,0.33,10.76,-25.6,4.2,102.875004,0,0,31.44295739,0,47.14690415,291.4458674,221.7141582,0.601656659,133.547092,127.3546803,29.28608352,263.0596285,286.0271014,551.3128901,292.170028874,1.09577156800402,0.00640871861892228,678.6675704,322.88882479,0.161768991856359,0.435213138395766,1.08730899922182,0.528639675642512,0.324762839498773
"32","SkyPond",1932.25423728814,2.91,0.3,11.2,-26,4.3,68.03472917,0,0,33.13012992,0,43.98152848,274.0647046,231.3869569,2.515503279,136.0035673,139.7304334,33.83286628,694.4076394,369.2118749,1026.0375589,376.352270911,0.477572395065445,0.0160985886934169,1165.7679923,307.19483452,0.160478630563507,0.281522691016443,0.531693279208472,0.267109817006914,0.401825208193396
"33","SkyPond",1935.64406779661,2.85,0.3,11.03,-25.6,4,73.05664726,0,0,32.16790474,0,55.62267853,274.1020284,220.3672814,4.792342921,117.8494628,116.2986401,29.61177739,396.2441244,361.5553889,708.4117873,368.66910139,0.787816509261027,0.00406210427420278,824.7104274,306.26993314,0.202926913217983,0.36526947705825,0.912456151740985,0.386924714288983,0.170638102109525
"34","SkyPond",1939.03389830508,2.7,0.27,11.76,-25.9,3.9,100.2205083,0,0,30.83694341,0,54.79560665,302.2643159,274.6214961,6.838981924,145.9525669,142.0100021,36.67978688,671.1185425,475.1466412,1052.452224,489.15818483,0.568206147425885,0.0129716740054057,1194.4622261,333.10125931,0.181283743292173,0.306879484668873,0.707992122271007,0.287200035314857,0.0935757334149006
"35","SkyPond",1942.42372881356,3.13,0.31,11.64,-26.2,3.9,64.1610314,0,0,29.23448084,0,46.95803567,218.773372,198.8173619,6.562422925,125.9259129,108.0768838,29.46410584,587.2098191,486.9578036,885.9979724,495.83984948,0.508826902380386,0.00322436682888317,994.0748562,248.00785284,0.214642372792974,0.260242443494915,0.829273945633856,0.246923106841187,0.0935757334149006
"36","SkyPond",1945.81355932203,2.93,0.31,10.93,-25.9,3.7,74.31489994,0,0,69.02974042,0,40.22794098,223.6753004,316.9265377,9.499594915,106.8888665,112.1676775,17.43346659,612.8494965,454.5879414,951.3820471,471.21004836,0.552391007145096,0.0119641202711868,1063.5497246,292.70504082,0.179849723720322,0.30107927892426,0.741761140371599,0.235105656115549,-0.0605490039743472
"37","SkyPond",1949.20338983051,2.87,0.31,10.75,-25.4,3.1,108.612046,0,0,65.10488434,0,32.80932425,205.3236711,366.9072355,11.95724679,117.156313,77.05402334,22.1716548,644.7437546,624.4788209,977.9475706,668.09924824,0.516800377859759,0.00760444538297267,1055.00159394,270.42855544,0.159793189329937,0.279901057230502,0.968569011246069,0.209953659350089,-0.522923216142091
"38","SkyPond",1952.59322033898,3.03,0.31,11.26,-25.9,2.8,111.1920688,0,0,56.68373551,0,41.74275394,189.9154455,433.3224968,15.98708301,127.7476593,108.9775491,43.52577688,751.7755621,740.5060272,1064.712501,773.59950458,0.416263782272792,0.00979471462379002,1173.6900501,246.59918101,0.219796519604299,0.216098948622244,0.985009442354684,0.178372514008831,-0.754110322225963
"39","SkyPond",1955.98305084746,3.18,0.35,10.73,-25.9,2.8,128.5373626,0,0,58.31813703,0,54.26929314,157.5926884,402.7472763,19.9160893,138.8856258,94.84927855,18.19472772,1027.982762,1063.647943,1375.7256872,1102.90971656,0.338277000407522,0.0296531193559478,1470.57496575,215.91082543,0.344364282956163,0.17699896713971,1.03469433760797,0.114552406679813,-0.754110322225963
"40","SkyPond",1959.37288135593,3.12,0.33,10.99,-25.9,2.5,181.5247581,0,0,68.28800988,0,75.16070464,168.2358192,407.489535,34.1505752,227.7752359,124.4535955,16.85199423,542.7126122,1021.637701,1030.5655229,1049.22432947,0.89891574238967,0.0101792913229821,1155.0191184,236.52382908,0.446758038789875,0.305209821291077,1.88246537492205,0.163246116294077,-0.985297428309835
"41","SkyPond",1962.76271186441,3.23,0.34,11.03,-26.3,2.9,204.1783679,0,0,100.2431004,0,100.6008831,188.0921772,426.9228139,42.01086502,211.142865,124.1978371,31.76612923,937.2753785,1132.302763,1543.2358077,1187.19984522,0.646512693174304,0.00608470628026211,1667.4336448,288.3352776,0.534848841656132,0.301242021914078,1.2080790651005,0.121881682800199,-0.677047953531339
"42","SkyPond",1966.15254237288,3.27,0.35,10.88,-26.3,2.3,120.950122,0,0,109.5619371,0,84.76917179,183.2478401,409.1528253,50.78103112,231.5996853,158.0505439,13.47488308,893.0998236,1228.091667,1597.7917854,1316.62228008,0.78904053407989,0.0184834436541629,1755.8423293,292.8097772,0.462593020161879,0.348020334336283,1.37508891452881,0.114688185140547,-1.13942216569908
