INSTAAR_accession_num,PLANK_B,Achnanthidium,Asterionella formosa,Aulacoseira,Cavinula,Chamaepinnularia,Cymbopleura,Encyonema,Eolimna,Eunotia,Fragilaria,Fragilaria crotonensis,Fragilariforma,Genkalia,Gomphonema,Hantzschia,Humidophila,Karayevia,Karayevia clevei,Luticola,Mayamaea,Melosira varians,Navicula,Nitzschia,Nitzschia dissipata,Nupela,Pinnularia,Platessa,Psammothidium,Rossithidium,Sellaphora,Stauroneis,Staurosira,Staurosirella,Tetracyclus,total,age_sky,Stauroneis_spp,Karayevia_spp,Fragilaria_spp,Nitzschia_spp
17121,B,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,8,NA,4,NA,30,2,NA,60,2010.220339,32,0,NA,5
17121,PLANK,NA,27,5,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2010.220339,NA,NA,8,NA
17122,B,NA,NA,NA,2,7,NA,2,11,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,11,NA,NA,NA,22,2,NA,63,2006.830508,24,0,NA,0
17122,PLANK,NA,28,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,2006.830508,NA,NA,1,NA
17123,B,NA,NA,NA,1,3,NA,NA,8,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,17,NA,2,NA,21,NA,NA,61,2000.050847,21,0,NA,0
17123,PLANK,NA,19,10,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,2000.050847,NA,NA,10,NA
17124,B,NA,NA,NA,1,4,NA,NA,5,NA,NA,NA,1,5,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,6,1,33,NA,1,67,1996.661017,34,2,NA,1
17124,PLANK,NA,14,11,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1996.661017,NA,NA,8,NA
17125,B,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,11,NA,NA,NA,18,NA,NA,48,1993.271186,18,0,NA,2
17125,PLANK,NA,23,7,NA,NA,NA,NA,NA,NA,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1993.271186,NA,NA,22,NA
