lake_ID,depth_range,depth_plot,age_jack,sample_ID,mass_HPLC,mass_CN,del15N,del13C,ugN,ugC,percN,percC,CN,fuco,sed_A,sed_B,sed_C,oscil,aphan,diadino,sudan,myxo,allo,diato,lutein,cantha,chl_b,okenone,chl_a,chl_ap,echine,phaeo_b,pheo_a,b_car,Fuco_raw,Sed_A_raw,Sed_B_raw,Sed_C_raw,Oscil_raw,Aphan_raw,Diadino_raw,Sudan_raw,Myxo_raw,Allo_raw,Diato_raw,Lutein_raw,Cantha_raw,Chl_b _raw,Okenone_raw,Chl_a _raw,Chl_ap_raw,Echine_raw,Phaeo_B_raw,Pheo_A_raw,B-car_raw
TheLoch,0.00-0.25,0.25,2016.3,LVDC3_001A,54.45,4.28,3.02,-23.35,34.18,364.88,0.8,8.53,12.45,242.7,0,0,0,0,61.5,20.2,1976.3,84.4,64.3,590.2,341.6,39,41.8,0,1050,145.1,43.4,416.5,1001.4,395.7,20.69145729,0,0,0,0,5.241113284,1.718734775,1976.3095,7.196826949,5.485965099,50.31526589,29.11998205,3.321037737,3.565106234,0,89.51446929,12.36973899,3.696655634,35.50423549,85.37471518,33.73815289
TheLoch,0.25-0.50,0.5,2016,LVDC3_002A,52.14,4.23,2.87,-23.43,31.01,338.98,0.73,8.01,12.75,219.3,0,0,0,0,50.9,28.9,1869.5,88.7,71.3,674.6,372.8,56.7,44.7,0,929.8,148.7,28.7,513.6,969.7,428.3,17.57693083,0,0,0,0,4.075344308,2.315092599,1869.507,7.109516305,5.714319744,54.06189999,29.87646299,4.540194698,3.580991183,0,74.5096633,11.91430402,2.301533357,41.15927139,77.70765229,34.32447183
TheLoch,0.50-0.75,0.75,1979.16775,LVDC3_003A,52.63,4.3,2.86,-23.22,30.57,332.2,0.71,7.73,12.68,203,0,0,0,0,49.3,23.9,1758.5,72.9,52.1,514,352,37.4,35.4,0,886.3,140.7,54.4,445.7,899.6,403.7,15.68543792,0,0,0,0,3.811059228,1.848036887,1758.46,5.631214044,4.021508269,39.71069935,27.19088631,2.888073178,2.734689405,0,68.47049309,10.86678805,4.199824016,34.43274899,69.50068952,31.18615883
TheLoch,0.75-1.00,1,2000,LVDC3_004A,54.65,4.51,2.8,-23.28,34.05,373.68,0.75,8.29,12.8,209.8,0,0,0,0,70.6,24,1741.3,108,49.9,505,308.4,35.2,38.9,0,839.9,129,42,429.6,800.2,333.2,17.38648638,0,0,0,0,5.852916672,1.985406922,1741.32,8.950351328,4.134465144,41.84184226,25.55653503,2.915658263,3.224041076,0,69.5907809,10.69168721,3.47721005,35.59870367,66.30269759,27.60816918
TheLoch,1.00-1.25,1.25,1962,LVDC3_005A,57.15,4.32,2.9,-23.29,30.69,341.71,0.71,7.91,12.99,158,0,0,0,0,42.7,21.8,1762.7,109.5,42.1,442.3,328.8,37.2,40.3,0,755,136,38.6,471.7,891.8,387.7,12.49841408,0,0,0,0,3.380000526,1.72698094,1762.712,8.663966961,3.332908558,34.98469483,26.005966,2.939287321,3.184278316,0,59.72267867,10.75958383,3.051301927,37.30935199,70.54217037,30.6675747
TheLoch,1.25-1.50,1.5,1925.1,LVDC3_006A,47.14,5.57,2.98,-23.29,36.35,396.75,0.65,7.12,12.73,288.5,0,0,0,0,58.3,29.3,1626.5,108.9,63.8,537.6,357,40.3,51.4,0,1078.2,155.7,28.2,544.1,1027.4,299.4,20.54860268,0,0,0,0,4.151789445,2.086204356,1626.54,7.753839692,4.545823637,38.29374673,25.42602311,2.867130662,3.664684845,0,76.80184828,11.08851194,2.005850452,38.75941183,73.1808778,21.32297895
TheLoch,1.50-1.75,1.75,1925.1,LVDC3_007A,55.98,5.15,3.27,-23.52,32,376,0.62,7.3,13.71,114.7,0,0,0,0,48.8,11.2,1788.1,54.6,50.5,578.3,347.6,38.7,37,0,629.2,139.7,37.4,458.5,845.5,329.8,8.376917557,0,0,0,0,3.560113315,0.819136498,1788.066,3.987675353,3.685468006,42.22123359,25.37762681,2.824561809,2.701163549,0,45.93616466,10.19626183,2.733573311,33.47150544,61.72921572,24.07866286
TheLoch,1.75-2.00,2,1911.6,LVDC3_008A,53.77,4.95,3.31,-23.61,29.86,348.95,0.6,7.05,13.63,112,0,0,0,0,40,21.7,1818.4,59.9,52,608.7,349.2,37,35.3,0,575.5,125.5,39,451.7,767.4,320.3,7.89203907,0,0,0,0,2.819886523,1.527135638,1818.423,4.222056321,3.665222017,42.91055838,24.61975127,2.606318248,2.487356399,0,40.57295075,8.848251572,2.750397772,31.8424125,54.09647288,22.58244547
TheLoch,2.00-2.25,2.25,1898.1,LVDC3_009A,53.68,4.08,3.26,-23.47,24.21,301.32,0.59,7.39,14.52,95.1,0,0,0,0,42.6,15.9,1923.3,38.3,45.2,517.1,333.1,35.9,32.8,0,572.1,118.1,42.3,417.5,764.7,307.9,7.023485126,0,0,0,0,3.145116588,1.173093791,1923.26,2.828884365,3.336028043,38.19175405,24.59856779,2.649095419,2.424982571,0,42.24754745,8.724600841,3.125851682,30.83334024,56.47625785,22.7363956
TheLoch,2.25-2.50,2.5,1884.6,LVDC3_010A,52.43,5.35,3.5,-23.78,27.05,371.65,0.51,6.95,16.03,44.2,0,0,0,0,49.4,12.5,1639.3,26.6,36,466.7,258.2,27.7,26,0,301.3,86.4,28.2,278.4,536.5,310.2,3.067206904,0,0,0,0,3.428533093,0.868273958,1639.3485,1.849053518,2.503671796,32.41857632,17.93584529,1.926623645,1.803162915,0,20.93336162,6.004133382,1.961409267,19.34208531,37.2723791,21.54765768
