SITE,TYPE,YEAR,MONTH,DAY,DATE,TEMP,FLDCOND,LABCOND,FLDPH,LABPH,ANC,CA,MG,NA,K,NH4,NH4_NREL,SO4,NO3,NO3_NREL,PO4,CL,F,SiO2,AL,FE,MN,LAB,DOC,TDN,NH4 calc,NO3 calc,TIN,TDN calc,DON,PO4_NREL,PO4_NREL calc,TP_NREL,TP_NREL calc,DOP,TP_HSWL,CHL_A
ANDREWS.CRK,NORMAL,2011,6,28,6/28/11,1.9,12,10.46,,6.39,63.37,1.182,0.19,0.416,0.161,0.051,,1.0894,1.3775,,<0.04,0.11,0.0901,2.146449,,,,USFS,,,0.051,1.3775,0.350482965,,,,,,,,,
ANDREWS.CRK,NORMAL,2011,7,26,7/26/11,3.8,8.7,7.82,,6.36,51.43,0.962,0.145,0.383,0.132,0.05,,0.8679,0.87,,<0.04,0.0598,0.0866,1.682241,,,,USFS,,,0.05,0.87,0.235147952,,,,,,,,,
ANDREWS.CRK,NORMAL,2011,8,30,8/30/11,6.9,8.2,7.68,,6.33,75,0.799,0.119,0.372,0.12,0.041,,0.9109,0.7652,,<0.04,0.0564,0.0407,1.70014,,,,USFS,,,0.041,0.7652,0.204514323,,,,,,,,,
ANDREWS.CRK,NORMAL,2011,10,4,10/4/11,7,14.8,11.6,,6.41,78.27,1.334,0.194,0.596,0.206,0.066,,1.6222,1.3352,,<0.04,0.0952,0.0874,2.47261,,,,USFS,,,0.066,1.3352,0.352562339,,,,,,,,,
ANDREWS.CRK,NORMAL,2012,5,31,5/31/12,4.7,13.49,13,,6.12,36.01,1.486,0.224,0.521,0.165,0.05,,1.6078,1.658,,<0.04,0.1835,0.0947,2.329614,,,,USFS,1.313,0.536032,0.05,1.658,0.413026056,0.536032,0.123005944,,,,,,,
ANDREWS.CRK,NORMAL,2012,6,28,6/28/12,7,9.46,9.22,,6.07,42.77,1.06,0.157,0.419,0.144,0.072,,1.0948,1.1687,,<0.04,0.1022,0.1067,1.52234,,,,USFS,0.6042,0.396032,0.072,1.1687,0.319628852,0.396032,0.076403148,,,,,,,
ANDREWS.CRK,NORMAL,2012,7,26,7/26/12,8.2,9.11,9.51,,6.07,32.54,1.065,0.163,0.438,0.133,0.087,,1.0508,1.1861,,<0.04,0.0836,0.0594,1.86407,,,,USFS,0.334,0.347648,0.087,1.1861,0.335184524,0.347648,0.012463476,,,,,,,
ANDREWS.CRK,NORMAL,2012,9,4,9/4/12,5,11.1,9.78,,6,53.02,1.169,0.175,0.498,0.14,0.032,,1.272,1.2491,,<0.04,0.0843,0.1132,2.112638,,,,USFS,0.3247,0.347648,0.032,1.2491,0.306770084,0.347648,0.040877916,,,,,,,
ANDREWS.CRK,NORMAL,2012,9,27,9/27/12,,,16.49,,6.1,90.03,1.917,0.301,0.737,0.226,0.049,,2.4076,2.6421,,<0.04,0.1923,0.0684,2.87215,,,,USFS,0.631,0.717136,0.049,2.6421,0.634395331,0.717136,0.082740669,,,,,,,
ANDREWS.CRK,NORMAL,2013,6,25,6/25/13,3.5,12.12,10.47,,6.04,14.79,1.206,0.189,0.457,0.159,0.021,,1.2398,1.7204,,<0.04,0.124,0.0694,,,,,USFS,1.014,0.4183,0.021,1.7204,0.404631214,0.4183,0.013668786,,,,,,,
