siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,Br,hplus,svol,ppt,fullChemLab,daysSample,startDate,lastDate
CO98,Annual,1983,35,39,91,0.530,0.080,0.076,0.156,0.284,2.020,0.677,0.312,2.737,-9,0.032,10233.4,34.650,17,140,"1983-08-16 00:00","1984-01-03 00:00"
CO98,Annual,1984,79,100,83,1.934,0.422,0.233,0.789,1.389,7.591,2.794,1.034,7.924,-9,0.080,39545.6,111.142,40,365,"1984-01-03 00:00","1985-01-02 00:00"
CO98,Annual,1985,85,100,87,2.680,0.472,0.439,0.890,1.230,8.950,2.978,1.329,9.225,-9,0.099,30203.6,109.820,43,363,"1985-01-02 00:00","1985-12-31 00:00"
CO98,Annual,1986,58,98,71,1.976,0.287,0.202,0.744,1.402,7.565,2.799,0.744,7.373,-9,0.069,17887.8,106.245,26,364,"1985-12-31 00:00","1986-12-30 00:00"
CO98,Annual,1987,92,100,83,0.954,0.154,0.145,0.723,0.954,5.784,2.048,0.665,4.752,-9,0.069,32803.3,96.394,45,364,"1986-12-30 00:00","1987-12-29 00:00"
CO98,Annual,1988,74,98,84,0.998,0.117,0.101,0.499,0.460,4.280,1.324,0.491,4.257,-9,0.059,24016.7,77.962,35,371,"1987-12-29 00:00","1989-01-03 00:00"
CO98,Annual,1989,90,100,96,1.566,0.208,0.127,0.787,1.249,6.371,2.410,0.697,5.421,-9,0.044,31485.5,90.496,40,364,"1989-01-03 00:00","1990-01-02 00:00"
CO98,Annual,1990,86,100,79,2.218,0.304,0.180,0.619,1.643,9.050,3.321,1.002,6.135,-9,0.070,32701.6,112.566,42,365,"1990-01-02 00:00","1991-01-02 00:00"
CO98,Annual,1991,92,100,92,1.334,0.161,0.161,0.632,1.094,7.083,2.450,0.853,5.207,-9,0.062,30895.9,100.325,42,363,"1991-01-02 00:00","1991-12-31 00:00"
CO98,Annual,1992,84,100,87,1.089,0.141,0.169,0.423,1.221,6.958,2.520,0.610,4.921,-9,0.061,33004.8,93.906,40,364,"1991-12-31 00:00","1992-12-29 00:00"
CO98,Annual,1993,85,100,82,1.610,0.218,0.496,1.610,1.695,8.558,3.250,2.167,7.081,-9,0.063,34308.2,121.050,43,371,"1992-12-29 00:00","1994-01-04 00:00"
CO98,Annual,1994,85,100,84,1.346,0.164,0.222,0.480,2.013,10.392,3.912,0.772,6.928,-9,0.145,29462.3,117.029,41,364,"1994-01-04 00:00","1995-01-03 00:00"
CO98,Annual,1995,83,100,87,1.500,0.186,0.214,0.643,1.571,8.256,3.086,0.714,6.213,-9,0.135,47538.9,142.838,42,371,"1995-01-03 00:00","1996-01-09 00:00"
CO98,Annual,1996,81,100,71,1.590,0.194,0.221,0.830,1.729,9.196,3.420,1.148,6.140,-9,0.124,23453.1,138.281,38,357,"1996-01-09 00:00","1996-12-31 00:00"
CO98,Annual,1997,88,100,94,1.307,0.138,0.163,0.503,1.345,8.069,2.868,0.654,5.392,-9,0.115,45039.2,125.679,44,364,"1996-12-31 00:00","1997-12-30 00:00"
CO98,Annual,1998,77,100,80,1.644,0.178,0.287,0.366,1.168,7.772,2.664,0.634,5.139,-9,0.096,29554.9,99.012,34,364,"1997-12-30 00:00","1998-12-29 00:00"
CO98,Annual,1999,60,100,59,2.096,0.205,0.205,0.332,1.385,9.342,3.186,0.556,5.197,-9,0.091,21288.5,97.511,24,364,"1998-12-29 00:00","1999-12-28 00:00"
CO98,Annual,2000,68,100,69,1.578,0.166,0.175,0.263,1.890,7.824,3.236,0.575,4.872,-9,0.073,28482.8,97.435,30,371,"1999-12-28 00:00","2001-01-02 00:00"
CO98,Annual,2001,79,98,85,1.459,0.148,0.182,0.234,2.067,8.136,3.444,0.425,4.463,-9,0.058,32913.9,86.834,40,364,"2001-01-02 00:00","2002-01-01 00:00"
