siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,Br,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,lastDate
CO98,Annual,1983,35,39,91,0.153,0.023,0.022,0.045,0.082,0.583,0.090,0.790,-9,5.037,6.390,10233.400,34.650,17,140,"1983-08-16 00:00","1984-01-03 00:00"
CO98,Annual,1984,79,100,83,0.174,0.038,0.021,0.071,0.125,0.683,0.093,0.713,-9,5.143,6.581,39545.602,111.142,40,365,"1984-01-03 00:00","1985-01-02 00:00"
CO98,Annual,1985,85,100,87,0.244,0.043,0.040,0.081,0.112,0.815,0.121,0.840,-9,5.047,8.350,30203.602,109.820,43,363,"1985-01-02 00:00","1985-12-31 00:00"
CO98,Annual,1986,58,98,71,0.186,0.027,0.019,0.070,0.132,0.712,0.070,0.694,-9,5.190,6.600,17887.801,106.245,26,364,"1985-12-31 00:00","1986-12-30 00:00"
CO98,Annual,1987,92,100,83,0.099,0.016,0.015,0.075,0.099,0.600,0.069,0.493,-9,5.148,5.872,32803.305,96.394,45,364,"1986-12-30 00:00","1987-12-29 00:00"
CO98,Annual,1988,74,98,84,0.128,0.015,0.013,0.064,0.059,0.549,0.063,0.546,-9,5.123,5.976,24016.699,77.962,35,371,"1987-12-29 00:00","1989-01-03 00:00"
CO98,Annual,1989,90,100,96,0.173,0.023,0.014,0.087,0.138,0.704,0.077,0.599,-9,5.313,6.164,31485.496,90.496,40,364,"1989-01-03 00:00","1990-01-02 00:00"
CO98,Annual,1990,86,100,79,0.197,0.027,0.016,0.055,0.146,0.804,0.089,0.545,-9,5.204,6.430,32701.600,112.566,42,365,"1990-01-02 00:00","1991-01-02 00:00"
CO98,Annual,1991,92,100,92,0.133,0.016,0.016,0.063,0.109,0.706,0.085,0.519,-9,5.206,5.823,30895.900,100.325,42,363,"1991-01-02 00:00","1991-12-31 00:00"
CO98,Annual,1992,84,100,87,0.116,0.015,0.018,0.045,0.130,0.741,0.065,0.524,-9,5.189,6.094,33004.800,93.906,40,364,"1991-12-31 00:00","1992-12-29 00:00"
CO98,Annual,1993,85,100,82,0.133,0.018,0.041,0.133,0.140,0.707,0.179,0.585,-9,5.283,6.513,34308.200,121.050,43,371,"1992-12-29 00:00","1994-01-04 00:00"
CO98,Annual,1994,85,100,84,0.115,0.014,0.019,0.041,0.172,0.888,0.066,0.592,-9,4.908,8.507,29462.300,117.029,41,364,"1994-01-04 00:00","1995-01-03 00:00"
CO98,Annual,1995,83,100,87,0.105,0.013,0.015,0.045,0.110,0.578,0.050,0.435,-9,5.024,6.183,47538.900,142.838,42,371,"1995-01-03 00:00","1996-01-09 00:00"
CO98,Annual,1996,81,100,71,0.115,0.014,0.016,0.060,0.125,0.665,0.083,0.444,-9,5.047,6.393,23453.100,138.281,38,357,"1996-01-09 00:00","1996-12-31 00:00"
CO98,Annual,1997,88,100,94,0.104,0.011,0.013,0.040,0.107,0.642,0.052,0.429,-9,5.038,6.282,45039.200,125.679,44,364,"1996-12-31 00:00","1997-12-30 00:00"
CO98,Annual,1998,77,100,80,0.166,0.018,0.029,0.037,0.118,0.785,0.064,0.519,-9,5.012,7.280,29554.896,99.012,34,364,"1997-12-30 00:00","1998-12-29 00:00"
