PRISM Time Series Data
Location:  Lat: 40.2888   Lon: -105.6615   Elev: 11122ft
"Climate variables: tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1895-08 - 2018-08
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Sep-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
1895-08,38.7,50.2,61.6
1895-09,30.4,44.1,57.7
1895-10,21.6,32.0,42.5
1895-11,9.2,19.4,29.7
1895-12,4.4,13.0,21.6
1896-01,11.2,20.6,30.0
1896-02,2.5,14.9,27.3
1896-03,7.7,17.8,27.9
1896-04,18.6,29.3,40.0
1896-05,27.1,38.7,50.3
1896-06,34.1,47.2,60.3
1896-07,40.4,51.4,62.4
1896-08,39.2,51.0,62.8
1896-09,32.6,42.0,51.5
1896-10,22.9,33.0,43.1
1896-11,11.1,18.3,25.5
1896-12,7.6,20.1,32.6
1897-01,2.8,13.9,24.9
1897-02,2.7,12.9,23.2
1897-03,9.1,18.5,28.0
1897-04,15.8,27.0,38.1
1897-05,26.5,39.7,52.9
1897-06,33.1,45.4,57.6
1897-07,37.1,48.4,59.8
1897-08,37.1,47.9,58.7
1897-09,34.5,46.3,58.2
1897-10,23.4,33.3,43.1
1897-11,15.5,25.2,35.0
1897-12,6.2,15.3,24.4
1898-01,-0.5,10.1,20.7
1898-02,4.4,17.3,30.2
1898-03,3.8,16.1,28.4
1898-04,18.9,30.2,41.5
1898-05,24.1,32.3,40.5
1898-06,34.3,45.7,57.1
1898-07,39.6,50.6,61.7
1898-08,38.2,51.0,63.8
1898-09,25.4,40.1,54.9
1898-10,21.6,30.9,40.2
1898-11,8.8,18.5,28.1
1898-12,2.1,12.0,22.0
1899-01,4.2,12.8,21.5
1899-02,-4.3,5.5,15.4
1899-03,8.2,18.0,27.8
1899-04,17.8,28.8,39.8
1899-05,24.9,36.2,47.5
1899-06,33.1,45.3,57.5
1899-07,39.2,50.4,61.6
1899-08,39.8,50.8,61.8
1899-09,32.2,44.6,56.9
1899-10,22.4,31.7,40.9
1899-11,15.6,25.8,36.0
1899-12,7.7,17.4,27.2
1900-01,8.6,18.7,28.7
1900-02,4.2,15.0,25.8
1900-03,12.6,24.0,35.3
1900-04,16.8,25.8,34.8
1900-05,26.2,37.8,49.4
1900-06,35.1,47.9,60.7
1900-07,36.4,48.7,60.9
1900-08,33.0,48.4,63.8
1900-09,28.7,40.6,52.5
1900-10,22.3,34.7,47.2
1900-11,13.5,24.8,36.0
1900-12,9.4,19.3,29.3
1901-01,8.0,17.4,26.8
1901-02,5.3,14.9,24.5
1901-03,8.9,19.5,30.1
1901-04,14.5,25.3,36.0
1901-05,25.2,36.9,48.6
1901-06,28.3,41.9,55.5
1901-07,41.0,54.0,67.0
1901-08,39.6,50.9,62.2
1901-09,30.8,42.4,54.1
1901-10,24.4,35.5,46.5
1901-11,16.7,27.7,38.6
1901-12,8.4,17.5,26.7
1902-01,4.9,15.2,25.4
1902-02,9.1,19.5,30.0
1902-03,7.6,18.1,28.7
1902-04,17.8,28.7,39.6
1902-05,26.6,37.6,48.6
1902-06,33.8,45.9,57.9
1902-07,37.0,48.4,59.8
1902-08,39.0,51.0,62.9
1902-09,29.5,41.6,53.7
1902-10,22.1,33.2,44.4
1902-11,14.9,23.9,32.9
1902-12,6.0,15.4,24.7
1903-01,7.6,16.8,26.0
1903-02,-4.9,5.7,16.4
1903-03,9.0,19.7,30.3
1903-04,17.0,27.9,38.7
1903-05,22.6,33.6,44.7
1903-06,30.5,40.1,49.7
1903-07,37.9,49.9,61.9
1903-08,34.4,48.5,62.6
1903-09,29.2,40.6,52.1
1903-10,23.0,34.6,46.2
1903-11,11.1,23.8,36.4
1903-12,8.4,19.2,30.1
1904-01,3.2,13.4,23.6
1904-02,9.3,21.0,32.6
1904-03,10.0,22.4,34.8
1904-04,17.9,29.4,40.9
1904-05,24.9,34.9,45.0
1904-06,30.5,40.8,51.1
1904-07,37.5,47.9,58.2
1904-08,37.1,48.8,60.4
1904-09,33.2,44.0,54.9
1904-10,22.4,33.7,45.1
1904-11,13.8,26.6,39.5
1904-12,7.3,17.5,27.7
1905-01,8.8,16.8,24.7
1905-02,3.7,14.2,24.6
1905-03,13.2,23.5,33.8
1905-04,16.2,25.1,34.0
1905-05,22.9,32.4,41.8
1905-06,34.8,46.1,57.4
1905-07,36.6,47.8,59.1
1905-08,38.5,50.6,62.7
1905-09,33.7,45.3,56.9
1905-10,21.0,30.3,39.6
1905-11,15.5,25.0,34.4
1905-12,3.0,14.3,25.6
1906-01,7.4,18.1,28.8
1906-02,7.8,19.1,30.5
1906-03,6.8,13.8,20.9
1906-04,18.9,29.5,40.2
1906-05,26.2,36.8,47.3
1906-06,32.5,43.2,53.9
1906-07,35.7,46.2,56.6
1906-08,36.8,48.6,60.3
1906-09,32.0,42.3,52.7
1906-10,21.5,32.1,42.7
1906-11,13.3,21.0,28.8
1906-12,15.3,23.2,31.0
1907-01,10.1,18.3,26.5
1907-02,15.6,26.1,36.6
1907-03,17.3,28.0,38.7
1907-04,18.3,27.7,37.1
1907-05,21.4,30.6,39.7
1907-06,31.7,42.6,53.5
1907-07,39.0,50.2,61.4
1907-08,38.8,49.7,60.7
1907-09,31.7,43.1,54.6
1907-10,24.2,35.5,46.8
1907-11,12.1,22.5,33.0
1907-12,9.4,18.1,26.9
1908-01,7.7,17.3,26.9
1908-02,8.8,19.4,30.0
1908-03,12.6,24.5,36.4
1908-04,19.3,31.5,43.6
1908-05,21.5,33.0,44.4
1908-06,30.9,42.8,54.8
1908-07,37.9,49.2,60.4
1908-08,38.9,48.6,58.3
1908-09,30.5,44.1,57.6
1908-10,22.5,31.3,40.1
1908-11,11.4,21.4,31.3
1908-12,5.3,16.2,27.1
1909-01,11.4,19.9,28.4
1909-02,6.2,16.0,25.9
1909-03,11.2,20.1,29.0
1909-04,15.0,24.3,33.6
1909-05,22.2,32.9,43.5
1909-06,32.9,44.4,55.9
1909-07,40.0,51.3,62.7
1909-08,40.0,51.4,62.8
1909-09,31.1,42.0,53.0
1909-10,25.6,36.1,46.7
1909-11,18.9,27.5,36.2
1909-12,2.4,11.1,19.8
1910-01,6.2,16.1,26.0
1910-02,-0.2,12.4,25.0
1910-03,16.8,30.4,44.0
1910-04,19.7,32.2,44.7
1910-05,24.5,34.7,45.0
1910-06,34.0,46.9,59.8
1910-07,39.8,52.6,65.3
1910-08,38.1,50.2,62.2
1910-09,34.5,45.6,56.8
1910-10,24.0,36.4,48.8
1910-11,18.4,28.0,37.7
1910-12,10.4,20.4,30.5
1911-01,11.9,21.3,30.6
1911-02,5.3,15.3,25.3
1911-03,11.8,23.8,35.9
1911-04,19.1,29.5,39.8
1911-05,26.5,37.9,49.2
1911-06,35.5,47.8,60.1
1911-07,38.4,48.7,58.9
1911-08,37.0,49.1,61.3
1911-09,35.1,46.5,57.9
1911-10,21.5,30.8,40.1
1911-11,9.1,19.3,29.6
1911-12,-0.3,10.2,20.7
1912-01,6.3,15.5,24.8
1912-02,4.1,13.6,23.2
1912-03,3.6,14.9,26.2
1912-04,15.7,26.1,36.6
1912-05,23.5,34.9,46.2
1912-06,29.8,41.5,53.3
1912-07,38.6,48.7,58.8
1912-08,37.9,49.1,60.2
1912-09,26.9,36.4,45.9
1912-10,23.6,32.9,42.1
1912-11,14.5,25.0,35.4
1912-12,4.7,14.2,23.7
1913-01,3.2,12.4,21.5
1913-02,-3.8,8.0,19.7
1913-03,5.1,16.4,27.8
1913-04,17.0,28.6,40.1
1913-05,26.6,37.8,49.1
1913-06,33.0,44.8,56.6
1913-07,39.4,50.2,61.1
1913-08,39.7,52.1,64.4
1913-09,28.3,39.3,50.3
1913-10,15.6,27.0,38.5
1913-11,18.4,27.9,37.5
1913-12,1.2,12.0,22.7
1914-01,8.4,17.1,25.8
1914-02,3.3,13.5,23.7
1914-03,7.6,20.1,32.6
1914-04,15.0,26.1,37.1
1914-05,23.9,35.3,46.6
1914-06,31.6,45.1,58.7
1914-07,38.7,49.8,60.8
1914-08,35.1,47.8,60.4
1914-09,29.4,42.9,56.4
1914-10,21.9,33.2,44.5
1914-11,15.0,27.8,40.5
1914-12,-1.0,8.4,17.9
1915-01,0.6,11.3,22.0
1915-02,3.5,14.0,24.5
1915-03,3.1,14.1,25.1
1915-04,22.2,31.7,41.2
1915-05,21.4,32.0,42.7
1915-06,28.3,40.1,51.8
1915-07,34.6,47.1,59.6
1915-08,33.6,45.5,57.3
1915-09,29.4,41.0,52.7
