DATE,tmin_F,tmean_F,tmax_F,tmin_C,tmean_C,tmax_C
1895-08-01,38.7,50.2,61.6,3.722222222,10.11111111,16.44444444
1895-09-01,30.4,44.1,57.7,-0.888888889,6.722222222,14.27777778
1895-10-01,21.6,32,42.5,-5.777777778,0,5.833333333
1895-11-01,9.2,19.4,29.7,-12.66666667,-7,-1.277777778
1895-12-01,4.4,13,21.6,-15.33333333,-10.55555556,-5.777777778
1896-01-01,11.2,20.6,30,-11.55555556,-6.333333333,-1.111111111
1896-02-01,2.5,14.9,27.3,-16.38888889,-9.5,-2.611111111
1896-03-01,7.7,17.8,27.9,-13.5,-7.888888889,-2.277777778
1896-04-01,18.6,29.3,40,-7.444444444,-1.5,4.444444444
1896-05-01,27.1,38.7,50.3,-2.722222222,3.722222222,10.16666667
1896-06-01,34.1,47.2,60.3,1.166666667,8.444444444,15.72222222
1896-07-01,40.4,51.4,62.4,4.666666667,10.77777778,16.88888889
1896-08-01,39.2,51,62.8,4,10.55555556,17.11111111
1896-09-01,32.6,42,51.5,0.333333333,5.555555556,10.83333333
1896-10-01,22.9,33,43.1,-5.055555556,0.555555556,6.166666667
1896-11-01,11.1,18.3,25.5,-11.61111111,-7.611111111,-3.611111111
1896-12-01,7.6,20.1,32.6,-13.55555556,-6.611111111,0.333333333
1897-01-01,2.8,13.9,24.9,-16.22222222,-10.05555556,-3.944444444
1897-02-01,2.7,12.9,23.2,-16.27777778,-10.61111111,-4.888888889
1897-03-01,9.1,18.5,28,-12.72222222,-7.5,-2.222222222
1897-04-01,15.8,27,38.1,-9,-2.777777778,3.388888889
1897-05-01,26.5,39.7,52.9,-3.055555556,4.277777778,11.61111111
1897-06-01,33.1,45.4,57.6,0.611111111,7.444444444,14.22222222
1897-07-01,37.1,48.4,59.8,2.833333333,9.111111111,15.44444444
1897-08-01,37.1,47.9,58.7,2.833333333,8.833333333,14.83333333
1897-09-01,34.5,46.3,58.2,1.388888889,7.944444444,14.55555556
1897-10-01,23.4,33.3,43.1,-4.777777778,0.722222222,6.166666667
1897-11-01,15.5,25.2,35,-9.166666667,-3.777777778,1.666666667
1897-12-01,6.2,15.3,24.4,-14.33333333,-9.277777778,-4.222222222
1898-01-01,-0.5,10.1,20.7,-18.05555556,-12.16666667,-6.277777778
1898-02-01,4.4,17.3,30.2,-15.33333333,-8.166666667,-1
1898-03-01,3.8,16.1,28.4,-15.66666667,-8.833333333,-2
1898-04-01,18.9,30.2,41.5,-7.277777778,-1,5.277777778
1898-05-01,24.1,32.3,40.5,-4.388888889,0.166666667,4.722222222
1898-06-01,34.3,45.7,57.1,1.277777778,7.611111111,13.94444444
1898-07-01,39.6,50.6,61.7,4.222222222,10.33333333,16.5
1898-08-01,38.2,51,63.8,3.444444444,10.55555556,17.66666667
