INSTAAR_accession_num,spp_ID,counts
17121,Staurosira,30
17121,Asterionella formosa,27
17121,Fragilaria crotonensis,8
17121,Psammothidium,8
17121,Aulacoseira,5
17121,Nitzschia,5
17121,Sellaphora,4
17121,Genkalia,4
17121,Eolimna,3
17121,Achnanthidium,3
17121,Staurosirella,2
17121,Pinnularia,1
17122,Asterionella formosa,28
17122,Staurosira,22
17122,Eolimna,11
17122,Psammothidium,11
17122,Aulacoseira,8
17122,Chamaepinnularia,7
17122,Genkalia,4
17122,Cavinula,2
17122,Encyonema,2
17122,Staurosirella,2
17122,Fragilaria crotonensis,1
17122,Pinnularia,1
17122,Melosira varians,1
17123,Staurosira,21
17123,Asterionella formosa,19
17123,Psammothidium,17
17123,Aulacoseira,10
17123,Fragilaria crotonensis,10
17123,Eolimna,8
17123,Chamaepinnularia,3
17123,Pinnularia,3
17123,Humidophila,2
17123,Genkalia,2
17123,Sellaphora,2
17123,Mayamaea,2
17123,Cavinula,1
17124,Staurosira,33
17124,Asterionella formosa,14
17124,Aulacoseira,11
17124,Psammothidium,6
17124,Sellaphora,6
17124,Fragilaria,6
17124,Genkalia,5
17124,Eolimna,5
17124,Chamaepinnularia,4
17124,Fragilaria crotonensis,2
17124,Karayevia clevei,2
17124,Fragilariforma,1
17124,Nitzschia dissipata,1
17124,Tetracyclus,1
17124,Cavinula,1
17124,Stauroneis,1
17124,Hantzschia,1
17125,Asterionella formosa,23
17125,Staurosira,18
17125,Fragilaria,13
17125,Psammothidium,11
17125,Fragilaria crotonensis,9
17125,Aulacoseira,7
17125,Eolimna,5
17125,Pinnularia,4
17125,Chamaepinnularia,4
17125,Genkalia,4
17125,Nitzschia dissipata,2
17126,Staurosira,37
17126,Asterionella formosa,30
17126,Fragilaria crotonensis,8
17126,Psammothidium,6
17126,Eolimna,6
17126,Aulacoseira,5
17126,Chamaepinnularia,2
17126,Cavinula,2
17126,Sellaphora,2
17126,Pinnularia,2
17127,Staurosira,34
17127,Asterionella formosa,25
17127,Psammothidium,10
17127,Aulacoseira,9
17127,Nitzschia,6
17127,Eolimna,5
17127,Genkalia,4
17127,Pinnularia,4
17127,Fragilaria crotonensis,2
17127,Eunotia,1
17128,Staurosira,24
17128,Asterionella formosa,21
17128,Stauroneis,13
17128,Psammothidium,10
17128,Fragilaria crotonensis,9
17128,Chamaepinnularia,8
17128,Genkalia,4
17128,Aulacoseira,4
17128,Eolimna,2
17128,Karayevia clevei,2
17128,Sellaphora,2
17128,Encyonema,1
17129,Asterionella formosa,34
17129,Staurosira,27
17129,Psammothidium,12
17129,Eolimna,7
17129,Chamaepinnularia,7
17129,Aulacoseira,4
17129,Nitzschia,2
17129,Sellaphora,2
17129,Pinnularia,2
17129,Genkalia,1
17129,Fragilaria crotonensis,1
17129,Cavinula,1
17130,Staurosira,51
17130,Asterionella formosa,21
17130,Aulacoseira,10
17130,Psammothidium,9
17130,Encyonema,2
17130,Eolimna,2
17130,Genkalia,2
17130,Achnanthidium,1
17130,Stauroneis,1
17130,Fragilaria crotonensis,1
17131,Asterionella formosa,38
17131,Staurosira,24
17131,Psammothidium,9
17131,Eolimna,7
17131,Fragilaria crotonensis,7
17131,Aulacoseira,6
17131,Chamaepinnularia,4
17131,Nitzschia dissipata,2
17131,Sellaphora,2
17131,Nitzschia,1
17132,Staurosira,63
17132,Asterionella formosa,13
17132,Eolimna,6
17132,Psammothidium,5
17132,Aulacoseira,4
17132,Chamaepinnularia,3
17132,Genkalia,3
17132,Pinnularia,2
17132,Navicula,1
17133,Staurosira,59
17133,Asterionella formosa,19
17133,Psammothidium,8
17133,Aulacoseira,8
17133,Fragilaria crotonensis,2
17133,Chamaepinnularia,2
17133,Encyonema,1
17133,Karayevia,1
17135,Staurosira,57
17135,Psammothidium,15
17135,Aulacoseira,11
17135,Pinnularia,6
17135,Platessa,4
17135,Fragilaria crotonensis,2
17135,Asterionella formosa,2
17135,Genkalia,2
17135,Stauroneis,1
17137,Staurosira,65
17137,Aulacoseira,15
17137,Psammothidium,6
17137,Eolimna,3
17137,Sellaphora,3
17137,Pinnularia,2
17137,Achnanthidium,2
17137,Cavinula,1
17137,Chamaepinnularia,1
17137,Cymbopleura,1
17137,Asterionella formosa,1
17139,Staurosira,65
17139,Eolimna,8
17139,Aulacoseira,7
17139,Psammothidium,6
17139,Humidophila,5
17139,Stauroneis,2
17139,Genkalia,2
17139,Sellaphora,2
17139,Karayevia clevei,1
17139,Asterionella formosa,1
17139,Chamaepinnularia,1
17140,Staurosira,62
17140,Aulacoseira,11
17140,Psammothidium,9
17140,Chamaepinnularia,4
17140,Achnanthidium,4
17140,Pinnularia,2
17140,Cymbopleura,2
17140,Gomphonema,2
17140,Asterionella formosa,1
17140,Eunotia,1
17140,Sellaphora,1
17140,Genkalia,1
17142,Staurosira,83
17142,Aulacoseira,9
17142,Sellaphora,5
17142,Pinnularia,2
17142,Psammothidium,1
17144,Staurosira,75
17144,Aulacoseira,14
17144,Psammothidium,3
17144,Sellaphora,2
17144,Genkalia,2
17144,Luticola,1
17144,Chamaepinnularia,1
17144,Fragilaria crotonensis,1
17144,Eolimna,1
17146,Staurosira,78
17146,Aulacoseira,6
17146,Sellaphora,4
17146,Psammothidium,4
17146,Chamaepinnularia,3
17146,Genkalia,2
17146,Eolimna,2
17146,Cavinula,1
17148,Staurosira,70
17148,Aulacoseira,11
17148,Chamaepinnularia,5
17148,Eolimna,4
17148,Sellaphora,4
17148,Psammothidium,3
17148,Genkalia,2
17148,Stauroneis,1
17150,Staurosira,66
17150,Aulacoseira,20
17150,Pinnularia,7
17150,Psammothidium,3
17150,Eolimna,2
17150,Sellaphora,1
17150,Genkalia,1
17151,None detected,0
17152,None detected,0
17156,Staurosira,78
17156,Aulacoseira,7
17156,Psammothidium,6
17156,Cavinula,4
17156,Karayevia clevei,2
17156,Pinnularia,2
17156,Chamaepinnularia,1
17158,Staurosira,75
17158,Aulacoseira,9
17158,Psammothidium,3
17158,Eolimna,3
17158,Chamaepinnularia,3
17158,Karayevia clevei,2
17158,Pinnularia,2
17158,Nupela,2
17158,Sellaphora,1
17159,Staurosira,65
17159,Aulacoseira,21
17159,Pinnularia,3
17159,Psammothidium,2
17159,Rossithidium,2
17159,Stauroneis,2
17159,Genkalia,2
17159,Nupela,1
17159,Cymbopleura,1
17159,Chamaepinnularia,1
