lake_ID,sample_number,sample_ID,sample_start_depth,depth_plot,depth_range,chl_c1,chl_c2,perid,fuco,sed_A,sed_B,sed_C,oscil,aphan,diadino,sudan,myxo,allo,diato,lutein,cantha,chl_b ,okenone,chl_a ,chl_ap,echine,phaeo_B,pheo_A,B-car
SkyPond,1,SPDC_001,0.00,0.20,0-0.2,0,0,0,32.99609117,0,0,0,0,0,2.727511139,2012.85,0,6.665079432,4.696346437,11.6375707,1.345666823,2.799382477,0,57.38701168,5.325477877,0.454033184,29.38698371,46.28844322,5.416849113
SkyPond,2,SPDC_002,0.20,0.40,0.2-0.4,0,0,0,24.45821235,0,0,0,0,0,4.171168986,2024.7,0,4.867972258,4.77731871,11.84442109,2.377230332,3.458939111,0,51.15451134,8.05182702,0.686472979,34.2493171,53.59665398,7.278525101
SkyPond,3,SPDC_003,0.40,0.60,0.4-0.6,0,0,0,19.03111444,0,0,0,0,0,3.668684613,2014.925,0,4.048562077,5.433280905,13.00830254,1.836090298,3.36999009,0,48.47844778,6.87510995,0.586149851,38.73241055,50.83403941,7.756885336
SkyPond,4,SPDC_004,0.60,0.80,0.6-0.8,0,0,0,16.77731013,0,0,0,0,0,3.887519939,1987.844,0,3.647142173,6.114244701,13.65968781,1.870007724,3.275072441,0,49.38728799,6.754716395,0.914641648,32.84481553,44.60746696,7.338581059
SkyPond,5,SPDC_005,0.80,1.00,0.8-1,0,0,0,15.41922155,0,0,0,0,0,2.43076144,1820.556,0,5.231533123,6.255853555,12.65233956,2.164613611,3.243734526,0,43.015161,6.987940567,0.595769428,37.62048086,43.04364159,6.881464971
SkyPond,6,SPDC_006,1.00,1.20,1-1.2,0,0,0,12.24818984,0,0,0,0,0,2.448279719,1910.691,0,2.902611541,6.599624741,14.85819207,1.97023331,3.085998768,0,45.55245976,8.593198004,0.732628535,36.41606369,49.34205386,7.901659472
SkyPond,7,SPDC_007,1.20,1.40,1.2-1.4,0,0,0,12.15567236,0,0,0,0,0,2.223252532,1904.364,0,4.666321792,7.052358165,13.14137243,2.101900707,2.597056154,0,42.92091195,7.048325522,0.600917656,33.83665066,37.6912219,6.990719269
SkyPond,8,SPDC_008,1.40,1.60,1.4-1.6,0,0,0,11.92652764,0,0,0,0,0,2.614325182,1880.37,0,3.935886429,6.61904854,13.47860704,1.767664589,2.474431803,0,40.43654162,7.537835987,0.64265175,33.21374608,40.58770668,8.206224469
SkyPond,9,SPDC_009,1.60,1.80,1.6-1.8,0,0,0,9.312878524,0,0,0,0,0,2.232076493,1763.694,0,4.083584841,6.614432713,11.86507452,1.719513329,3.845001059,0,37.85242884,7.786640368,0.663864014,33.39857304,35.75751195,8.20808666
SkyPond,10,SPDC_010,1.80,2.00,1.8-2,0,0,0,7.491399969,0,0,0,0,0,2.302698463,1788.453,0,3.462732665,7.051530842,11.63089737,1.568603529,2.68933561,0,36.71452473,6.884596491,0.586958643,32.52142327,34.4563662,7.836770338
