lake_ID,sample_number,sample_ID,sample_start_depth,depth_plot,depth_range,percC,sample,percN,CN,del13C,del15N,chlide_a,chl_c1,chl_c2,perid,fuco,sed_A,sed_B,sed_C,oscil,aphan,viola,diadino,sudan,myxo,allo,diato,lutein,zea,cantha,chl_b ,okenone,chl_a ,chl_ap,echine,isoren,phaeo_b,pheo_a,a_car,b_car,car_x,car_y,car_z
SkyPond,1,SPDC_001,0,0.2,0-0.2,3.74,SPC 1 01,0.45,9.80,-26.9,2.1,0,0,0,0,882.2694652,0,0,0,0,0,0,72.92984439,2012.85,0,178.2149297,125.5737547,311.1724121,0,35.98125434,74.85158373,0,1534.448667,142.3958521,12.14021421,0,785.7669646,1237.688423,0,144.8389916,0,0,0
SkyPond,2,SPDC_002,0.2,0.4,0.2-0.4,3.79,SPC 1 02,0.45,9.78,-27.1,2.2,0,0,0,0,646.0463485,0,0,0,0,0,0,110.1784731,2024.7,0,128.5840378,126.1894886,312.8619902,0,62.79285474,91.36542565,0,1351.21017,212.6833053,18.13269731,0,904.6714425,1415.717637,0,192.2570831,0,0,0
SkyPond,3,SPDC_003,0.4,0.6,0.4-0.6,3.66,SPC 1 03,0.42,10.22,-26.8,1.7,0,0,0,0,520.0913369,0,0,0,0,0,0,100.259556,2014.925,0,110.6410278,148.4832818,355.4970718,0,50.17754797,92.0966902,0,1324.842052,187.886271,16.0185816,0,1058.497717,1389.21678,0,211.9838476,0,0,0
SkyPond,4,SPDC_004,0.6,0.8,0.6-0.8,3.60,SPC 1 04,0.40,10.49,-27.0,2.3,0,0,0,0,465.4560843,0,0,0,0,0,0,107.8522,1987.844,0,101.1833543,169.6286458,378.9632992,0,51.87997754,90.86095343,0,1370.16086,187.3973729,25.37507602,0,911.219922,1237.553382,0,203.5956406,0,0,0
SkyPond,5,SPDC_005,0.8,1,0.8-1,4.15,SPC 1 05,0.44,10.95,-27.3,2.3,0,0,0,0,371.802906,0,0,0,0,0,0,58.61282711,1820.556,0,126.1476924,150.847079,305.085221,0,52.19521804,78.21600585,0,1037.222392,168.4998559,14.36575795,0,907.1407438,1037.909143,0,165.9324153,0,0,0
SkyPond,6,SPDC_006,1,1.2,1-1.2,3.46,SPC 1 06,0.39,10.34,-26.7,2.2,0,0,0,0,353.901483,0,0,0,0,0,0,70.74105113,1910.691,0,83.86859957,190.690789,429.3153746,0,56.92828896,89.16742435,0,1316.201274,248.2934669,21.16870562,0,1052.212541,1425.698513,0,228.3120235,0,0,0
SkyPond,7,SPDC_007,1.2,1.4,1.2-1.4,3.11,SPC 1 07,0.35,10.27,-26.7,2.0,0,0,0,0,390.5303348,0,0,0,0,0,0,71.42735751,1904.364,0,149.9168583,226.5740399,422.19833,0,67.528637,83.4367017,0,1378.937965,226.4444815,19.30593111,0,1087.084129,1210.921541,0,224.5937415,0,0,0
SkyPond,8,SPDC_008,1.4,1.6,1.4-1.6,3.69,SPC 1 08,0.40,10.66,-26.9,2.3,0,0,0,0,323.0900213,0,0,0,0,0,0,70.82215409,1880.37,0,106.6232912,179.3102399,365.1359024,0,47.88609113,67.03243791,0,1095.427226,204.2002217,17.40945678,0,899.76146,1099.522292,0,222.3068874,0,0,0
SkyPond,9,SPDC_009,1.6,1.8,1.6-1.8,3.36,SPC 1 09,0.37,10.47,-26.7,2.3,0,0,0,0,276.7897929,0,0,0,0,0,0,66.33996017,1763.694,0,121.3689838,196.5887836,352.6440844,0,51.10597513,114.2779909,0,1125.01907,231.4281851,19.73082572,0,992.6451947,1062.755656,0,243.9540687,0,0,0
SkyPond,10,SPDC_010,1.8,2,1.8-2,3.25,SPC 1 10,0.36,10.64,-26.7,1.5,0,0,0,0,230.430105,0,0,0,0,0,0,70.82935778,1788.453,0,106.5111802,216.9000453,357.7580842,0,48.24912264,82.72203987,0,1129.312521,211.765264,18.05442805,0,1000.33572,1059.85318,0,241.0534506,0,0,0
SkyPond,11,SPDC_011,2,2.2,2-2.2,3.24,SPC 1 11,0.36,10.59,-26.4,1.9,0,0,0,0,249.7290395,0,0,0,0,0,0,80.07973664,1916.631,0,113.5216996,234.6917364,389.396245,0,55.60172142,87.0926263,0,1137.415854,242.579004,20.68150881,0,943.9146581,1064.108921,0,229.7345093,0,0,0
SkyPond,12,SPDC_012,2.2,2.4,2.2-2.4,3.28,SPC 1 12,0.35,10.82,-26.7,2.0,0,0,0,0,185.725656,0,0,5.056135774,0,0,0,57.67086726,1847.7464,0,74.53427954,191.059796,360.6467102,0,41.0116876,76.97643085,0,981.6964383,204.6085269,17.44426757,0,926.9880217,967.8074697,0,242.4506565,0,0,0
SkyPond,13,SPDC_013,2.4,2.6,2.4-2.6,3.20,SPC 1 13,0.34,11.13,-26.6,1.9,0,0,0,0,155.9597429,0,0,11.65593081,0,0,0,108.3305778,1680.5435,0,127.0793756,211.0691209,332.332151,0,49.29227163,74.10936744,0,862.3508117,160.756608,21.76770722,0,1044.933694,965.8404789,0,241.5549461,0,0,0
SkyPond,14,SPDC_014,2.6,2.8,2.6-2.8,3.36,SPC 1 14,0.38,10.43,-26.3,2.5,0,0,0,0,129.2342046,0,0,1.567623881,0,0,0,84.74417235,1728.1605,0,86.1935908,178.879362,362.5796732,0,42.93366292,66.87872957,0,727.1457252,149.095422,20.18869106,0,916.1381124,846.721324,0,166.8994082,0,0,0
SkyPond,15,SPDC_015,2.8,3,2.8-3,3.27,SPC 1 15,0.35,10.88,-26.3,2.3,0,0,0,0,120.950122,0,0,12.51643053,0,0,0,109.5619371,1749.411,0,84.76917179,183.2478401,409.1528253,0,50.78103112,88.53061308,0,704.6919618,158.0505439,13.47488308,0,1228.091667,893.0998236,0,231.5996853,0,0,0
SkyPond,16,SPDC_016,3,3.2,3-3.2,3.23,SPC 1 16,0.34,11.03,-26.3,2.9,0,0,0,0,204.1783679,0,0,4.354312404,0,0,0,100.2431004,1588.531,0,100.6008831,188.0921772,426.9228139,0,42.01086502,54.89708222,0,605.9604292,124.1978371,31.76612923,0,1132.302763,937.2753785,0,211.142865,0,0,0
SkyPond,17,SPDC_017,3.2,3.4,3.2-3.4,3.12,SPC 1 17,0.33,10.99,-25.9,2.5,0,0,0,0,181.5247581,0,0,6.625558811,0,0,0,68.28800988,1675.2384,0,75.16070464,168.2358192,407.489535,0,34.1505752,27.58662847,0,487.8529107,124.4535955,16.85199423,0,1021.637701,542.7126122,0,227.7752359,0,0,0
SkyPond,18,SPDC_018,3.4,3.6,3.4-3.6,3.18,SPC 1 18,0.35,10.73,-25.9,2.8,0,0,0,0,128.5373626,0,0,18.22508168,0,0,0,58.31813703,1534.302,0,54.26929314,157.5926884,402.7472763,0,19.9160893,39.26177356,0,347.7429252,94.84927855,18.19472772,0,1063.647943,1027.982762,0,138.8856258,0,0,0
SkyPond,19,SPDC_019,3.6,3.8,3.6-3.8,3.03,SPC 1 19,0.31,11.26,-25.9,2.8,0,0,0,0,111.1920688,0,0,6.51329615,0,0,0,56.68373551,1452.546,0,41.74275394,189.9154455,433.3224968,0,15.98708301,33.09347738,0,312.9369389,108.9775491,43.52577688,0,740.5060272,751.7755621,0,127.7476593,0,0,0
SkyPond,20,SPDC_020,3.8,4,3.8-4,2.87,SPC 1 20,0.31,10.75,-25.4,3.1,0,0,0,0,108.612046,0,0,4.60099539,0,0,0,65.10488434,1431.654678,0,32.80932425,205.3236711,366.9072355,0,11.95724679,43.62042734,0,333.203816,77.05402334,22.1716548,0,624.4788209,644.7437546,0,117.156313,0,0,0
SkyPond,21,SPDC_021,4,4.2,4-4.2,2.93,SPC 1 21,0.31,10.93,-25.9,3.7,0,0,0,0,74.31489994,0,0,6.949117334,0,0,0,69.02974042,1522.058427,0,40.22794098,223.6753004,316.9265377,0,9.499594915,16.62210696,0,338.5325506,112.1676775,17.43346659,0,454.5879414,612.8494965,0,106.8888665,0,0,0
SkyPond,22,SPDC_022,4.2,4.4,4.2-4.4,3.13,SPC 1 22,0.31,11.64,-26.2,3.9,0,0,0,0,64.1610314,0,0,1.497875643,0,0,0,29.23448084,1536.737604,0,46.95803567,218.773372,198.8173619,0,6.562422925,8.88204588,0,298.7881533,108.0768838,29.46410584,0,486.9578036,587.2098191,0,125.9259129,0,0,0
SkyPond,23,SPDC_023,4.4,4.6,4.4-4.6,2.70,SPC 1 23,0.27,11.76,-25.9,3.9,0,0,0,0,100.2205083,0,0,8.193965438,0,0,0,30.83694341,1555.422641,0,54.79560665,302.2643159,274.6214961,0,6.838981924,14.01154363,0,381.3336815,142.0100021,36.67978688,0,475.1466412,671.1185425,0,145.9525669,0,0,0
SkyPond,24,SPDC_024,4.6,4.8,4.6-4.8,2.85,SPC 1 24,0.30,11.03,-25.6,4.0,0,0,0,0,73.05664726,0,0,2.234531017,0,0,0,32.16790474,1543.661869,0,55.62267853,274.1020284,220.3672814,0,4.792342921,7.11371249,0,312.1676629,116.2986401,29.61177739,0,361.5553889,396.2441244,0,117.8494628,0,0,0
SkyPond,25,SPDC_025,4.8,5,4.8-5,2.91,SPC 1 25,0.30,11.20,-26.0,4.3,0,0,0,0,68.03472917,0,0,8.84509894,0,0,0,33.13012992,1514.41724,0,43.98152848,274.0647046,231.3869569,0,2.515503279,7.140396011,0,331.6299195,139.7304334,33.83286628,0,369.2118749,694.4076394,0,136.0035673,0,0,0
SkyPond,26,SPDC_026,5,5.2,5-5.2,3.01,SPC 1 26,0.33,10.76,-25.6,4.2,0,0,0,0,102.875004,0,0,3.590849453,0,0,0,31.44295739,1502.318315,0,47.14690415,291.4458674,221.7141582,0,0.601656659,6.142927474,0,288.2532616,127.3546803,29.28608352,0,286.0271014,263.0596285,0,133.547092,0,0,0
SkyPond,27,SPDC_027,5.2,5.4,5.2-5.4,3.12,SPC 1 27,0.34,10.64,-25.6,4.4,0,0,0,0,120.8546459,0,0,0,0,0,0,29.61094525,1456.268823,0,51.48896129,303.5182465,226.0397156,0,1.169036356,17.14798082,0,306.5830797,136.0855733,25.12773832,0,259.0101023,211.7571595,0,88.0041914,0,0,0
