"VEMAP Grid Cell row 17, col 37 (base 0) latitude 40.25 longitude -105.75 (near Loch Vale)"					
Historic	year	month	ppt(mm)	tmin	tmax
	1895	1	53	-15.8	-4.5
	1895.08	2	67	-18.3	-3.6
	1895.17	3	83	-12.5	2.2
	1895.25	4	61	-7.3	10.5
	1895.33	5	92	-3.9	12.8
	1895.42	6	87	-1.1	15.9
	1895.5	7	83	1.6	18.7
	1895.58	8	50	3.5	20.8
	1895.67	9	22	-0.5	18.6
	1895.75	10	53	-5.6	9.4
	1895.83	11	76	-12	-0.6
	1895.92	12	49	-16	-3.1
	1896	1	57	-12.1	1.3
	1896.08	2	37	-14.5	0.2
	1896.17	3	79	-12.1	1.1
	1896.25	4	63	-6.6	8.5
	1896.33	5	56	-2.7	13.3
	1896.42	6	44	2.2	19.7
	1896.5	7	88	3.2	19.7
	1896.58	8	61	3.5	21.2
	1896.67	9	57	0.5	16.6
	1896.75	10	24	-5.9	10
	1896.83	11	52	-13.5	-0.1
	1896.92	12	33	-12.1	2
	1897	1	47	-16.3	-3.3
	1897.08	2	73	-14.3	-1.4
	1897.17	3	116	-13.4	2.1
	1897.25	4	58	-6.9	7.8
	1897.33	5	62	-1	14.3
	1897.42	6	52	0.7	17.7
	1897.5	7	71	1.9	20.3
	1897.58	8	58	3.5	19.9
	1897.67	9	26	2.3	18.6
	1897.75	10	41	-4.9	10.2
	1897.83	11	62	-10.7	2.5
	1897.92	12	66	-16.4	-3.4
	1898	1	35	-16.3	-3
	1898.08	2	34	-11.6	2.6
	1898.17	3	55	-13.8	1.1
	1898.25	4	55	-6.6	9.6
	1898.33	5	96	-3.8	9.1
	1898.42	6	38	1.4	19.3
	1898.5	7	28	3.2	20.7
	1898.58	8	44	4.1	21.8
	1898.67	9	20	-1.7	15.7
	1898.75	10	36	-5.6	8.3
	1898.83	11	86	-13.4	-0.5
	1898.92	12	54	-17.3	-4.1
	1899	1	66	-14.7	-2.4
	1899.08	2	78	-21.5	-7.6
	1899.17	3	105	-12.6	1.5
	1899.25	4	62	-7.4	8.9
	1899.33	5	27	-3.7	12.9
	1899.42	6	29	0.8	18
	1899.5	7	85	2.7	19.1
	1899.58	8	50	3.2	20.3
	1899.67	9	15	0.5	18.1
	1899.75	10	75	-5	7.2
	1899.83	11	33	-8.6	4.9
	1899.92	12	64	-15.3	-2.4
	1900	1	38	-12.5	0.4
	1900.08	2	74	-15.6	-2.2
	1900.17	3	66	-9.7	6.1
	1900.25	4	217	-7.2	4.9
	1900.33	5	44	-1.8	15.2
	1900.42	6	20	2.3	20.3
	1900.5	7	36	2.2	20
	1900.58	8	19	3.2	21.1
	1900.67	9	48	0	15
	1900.75	10	23	-3.7	11.9
	1900.83	11	44	-9.7	3.3
	1900.92	12	48	-12.8	-0.1
	1901	1	44	-13.8	-1.1
	1901.08	2	61	-16.7	-2.6
	1901.17	3	94	-11.4	2.8
	1901.25	4	98	-7.4	6.6
	1901.33	5	84	-1.4	14.3
	1901.42	6	49	0.3	17.6
	1901.5	7	25	4.5	23.2
	1901.58	8	48	4.4	20
	1901.67	9	24	-1.2	16.4
	1901.75	10	37	-4	10.8
	1901.83	11	28	-9.2	4.9
	1901.92	12	82	-13.7	-2.8
	1902	1	45	-15.4	-2.2
	1902.08	2	51	-11.3	1.5
	1902.17	3	86	-11.9	1.6
	1902.25	4	53	-7.5	8.5
	1902.33	5	55	-1.8	13.6
	1902.42	6	41	1.1	18.8
	1902.5	7	47	1.4	18.8
	1902.58	8	32	4.5	21
	1902.67	9	103	-1.7	16.1
	1902.75	10	44	-3.1	10
	1902.83	11	72	-10.7	1.5
	1902.92	12	80	-13.5	-1.9
	1903	1	39	-13.2	-0.6
	1903.08	2	90	-20.5	-7.2
	1903.17	3	83	-11.3	3
	1903.25	4	71	-7	7.4
	1903.33	5	41	-4.5	11.4
	1903.42	6	54	0.3	14.8
	1903.5	7	41	2.6	21.2
	1903.58	8	49	3.7	20.7
	1903.67	9	45	-1.1	14.9
	1903.75	10	64	-4.4	10.4
	1903.83	11	45	-10.7	3.3
	1903.92	12	38	-13.1	0.1
	1904	1	34	-15.5	-3.1
	1904.08	2	48	-10.6	3.9
	1904.17	3	74	-10.3	5
	1904.25	4	59	-7.1	7.8
	1904.33	5	109	-2.8	11.3
	1904.42	6	55	-0.5	15.5
	1904.5	7	51	1.7	19.3
	1904.58	8	46	3.8	20.1
	1904.67	9	50	0.2	17.2
	1904.75	10	36	-4.5	10.3
	1904.83	11	29	-10.3	5.6
	1904.92	12	44	-12.6	-1.6
	1905	1	62	-14.8	-3.9
	1905.08	2	59	-17.5	-3.1
	1905.17	3	96	-7.2	5.6
	1905.25	4	158	-8	5.4
	1905.33	5	95	-3.4	11.1
	1905.42	6	20	1.7	19.7
	1905.5	7	60	2.3	19
	1905.58	8	33	4.5	21.6
	1905.67	9	36	0.7	17.7
