year,month,ppt_mm,tmin,tmax
1895,1,53,-15.8,-4.5
1895,2,67,-18.3,-3.6
1895,3,83,-12.5,2.2
1895,4,61,-7.3,10.5
1895,5,92,-3.9,12.8
1895,6,87,-1.1,15.9
1896,7,83,1.6,18.7
1896,8,50,3.5,20.8
1896,9,22,-0.5,18.6
1896,10,53,-5.6,9.4
1896,11,76,-12,-0.6
1896,12,49,-16,-3.1
1896,1,57,-12.1,1.3
1896,2,37,-14.5,0.2
1896,3,79,-12.1,1.1
1896,4,63,-6.6,8.5
1896,5,56,-2.7,13.3
1896,6,44,2.2,19.7
1897,7,88,3.2,19.7
1897,8,61,3.5,21.2
1897,9,57,0.5,16.6
1897,10,24,-5.9,10
1897,11,52,-13.5,-0.1
1897,12,33,-12.1,2
1897,1,47,-16.3,-3.3
1897,2,73,-14.3,-1.4
1897,3,116,-13.4,2.1
1897,4,58,-6.9,7.8
1897,5,62,-1,14.3
1897,6,52,0.7,17.7
1898,7,71,1.9,20.3
1898,8,58,3.5,19.9
1898,9,26,2.3,18.6
1898,10,41,-4.9,10.2
1898,11,62,-10.7,2.5
1898,12,66,-16.4,-3.4
1898,1,35,-16.3,-3
1898,2,34,-11.6,2.6
1898,3,55,-13.8,1.1
1898,4,55,-6.6,9.6
1898,5,96,-3.8,9.1
1898,6,38,1.4,19.3
1899,7,28,3.2,20.7
1899,8,44,4.1,21.8
1899,9,20,-1.7,15.7
1899,10,36,-5.6,8.3
1899,11,86,-13.4,-0.5
1899,12,54,-17.3,-4.1
1899,1,66,-14.7,-2.4
1899,2,78,-21.5,-7.6
1899,3,105,-12.6,1.5
1899,4,62,-7.4,8.9
1899,5,27,-3.7,12.9
1899,6,29,0.8,18
1900,7,85,2.7,19.1
1900,8,50,3.2,20.3
1900,9,15,0.5,18.1
1900,10,75,-5,7.2
1900,11,33,-8.6,4.9
1900,12,64,-15.3,-2.4
1900,1,38,-12.5,0.4
1900,2,74,-15.6,-2.2
1900,3,66,-9.7,6.1
1900,4,217,-7.2,4.9
1900,5,44,-1.8,15.2
1900,6,20,2.3,20.3
1901,7,36,2.2,20
1901,8,19,3.2,21.1
1901,9,48,0,15
