spp_ID,PLANK_B
Achnanthidium,B
Asterionella formosa,PLANK
Aulacoseira,PLANK
Cavinula,B
Chamaepinnularia,B
Cymbopleura,B
Encyonema,B
Eolimna,B
Eunotia,B
Fragilaria,PLANK
Fragilaria crotonensis,PLANK
Fragilariforma,B
Genkalia,B
Gomphonema,B
Hantzschia,B
Humidophila,B
Karayevia,B
Karayevia clevei,B
Luticola,B
Mayamaea,B
Melosira varians,B
Navicula,B
Nitzschia,B
Nitzschia dissipata,B
Nupela,B
Pinnularia,B
Platessa,B
Psammothidium,B
Rossithidium,B
Sellaphora,B
Stauroneis,B
Staurosira,B
Staurosirella,B
Tetracyclus,B
