depth_range,distance_from_previous_sample_cm,mean_depth_cm,top_depth_cm,bottom_depth_cm,max_year_ad,min_year_ad,avg_year_ad
0.0 - 0.5,NA,0.25,0,0.5,2020,2019.5,2019.7
0.5 - 1.0,0.5,0.75,0.5,1,2019.5,2018.8,2019.2
1.0 - 1.5,0.5,1.25,1,1.5,2018.8,2018,2018.4
1.5 - 2.0,0.5,1.75,1.5,2,2018,2017,2017.5
2.0 - 2.5,0.5,2.25,2,2.5,2017,2016,2016.5
4.5 - 5.0 ,2.5,4.75,4.5,5,2016,2005.3,2010.7
7.0 - 7.5,2.5,7.25,7,7.5,2005.3,2004.1,2004.7
12.0 - 12.5 ,5,12.25,12,12.5,2004.1,1966,1985
17.0 - 17.5 ,5,17.25,17,17.5,1966,1963.4,1964.7
22.0 - 22.5 ,5,22.25,22,22.5,1963.4,1920.3,1941.8
27.0 - 27.5 ,5,27.25,27,27.5,1920.3,1916.8,1918.6
32.0 - 32.5 ,5,32.25,32,32.5,1916.8,1816.1,1866.5
37.0 - 37.5 ,5,37.25,37,37.5,1816.1,1804.5,1810.3
